type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,34701,16712405787,0.013931,16.6957
compile,full,2,80,34701,16631072327,0.012777,16.6149
compile,full,3,80,34701,15879761904,0.005549,15.8715
compile,full,4,80,34701,16498050794,0.006846,16.4884
compile,full,5,80,34701,16805185948,0.005143,16.7967
compile,full,6,80,34701,15643827686,0.005112,15.6359
compile,full,7,80,34701,16202346849,0.005835,16.1938
compile,full,8,80,34700,16138522149,0.005172,16.1308
compile,full,9,80,34701,16531490352,0.005732,16.5232
compile,full,10,80,34701,16032750266,0.036215,15.994
compile,full,11,80,34701,16530233902,0.005588,16.5219
compile,full,12,80,34701,16519295014,0.008775,16.5077
compile,full,13,80,34701,16422450463,0.014364,16.4034
compile,full,14,80,34701,16292351263,0.004899,16.2846
compile,full,15,80,34701,16803734430,0.006689,16.7938
compile,full,16,80,34701,16313229261,0.005648,16.3049
compile,full,17,80,34701,16561176220,0.009603,16.5487
compile,full,18,80,34700,16487807088,0.005186,16.479
compile,full,19,80,34701,16504756086,0.005736,16.4964
compile,full,20,80,34701,16115499005,0.016811,16.092
compile,full,21,80,34701,16271853124,0.007088,16.2621
compile,full,22,80,34701,16733777856,0.005155,16.7258
compile,full,23,80,34701,16081450876,0.006705,16.072
compile,full,24,80,34701,16630999334,0.005924,16.6223
compile,full,25,80,34701,16443221157,0.013374,16.4271
compile,full,26,80,34701,16795092009,0.005333,16.7867
compile,full,27,80,34701,16269613489,0.007002,16.2591
compile,full,28,80,34701,16529692290,0.021311,16.4309
compile,full,29,80,34700,16348034676,0.015901,16.329
compile,full,30,80,34700,16273406921,0.005225,16.2654
compile,full,31,80,34701,16737302248,0.005676,16.7278
compile,full,32,80,34701,16831498527,0.019235,16.8094
compile,full,33,80,34701,16547678444,0.005703,16.466
compile,full,34,80,34701,16790999285,0.020958,16.7672
compile,full,35,80,34701,16490167146,0.005448,16.4822
compile,full,36,80,34701,16310589949,0.005598,16.3023
compile,full,37,80,34701,16224899803,0.005777,16.2163
compile,full,38,80,34701,16159394725,0.005215,16.1516
compile,full,39,80,34701,16431846433,0.005248,16.4236
compile,full,40,80,34701,16493373797,0.006051,16.484
compile,full,41,80,34699,16242377281,0.005466,16.1635
compile,full,42,80,34701,16725434211,0.006382,16.7156
compile,full,43,80,34701,16494496125,0.011407,16.4804
compile,full,44,80,34701,15950541180,0.005105,15.9426
compile,full,45,80,34701,16291633095,0.004967,16.2841
compile,full,46,80,34701,16515266841,0.005979,16.5068
compile,full,47,80,34700,16029798751,0.00521,16.0217
compile,full,48,80,34701,16273384116,0.004936,16.2655
compile,full,49,80,34700,16663489709,0.007489,16.5804
compile,full,50,80,34701,16641270430,0.015403,16.623
get-pdf,default,1,77,1382089,77845600,0,0
get-pdf,default,2,77,1382089,18961479,0,0
get-pdf,default,3,77,1382089,60590891,0,0
get-pdf,default,4,77,1382089,20005829,0,0
get-pdf,default,5,77,1382089,63963872,0,0
get-pdf,default,6,77,1382089,17519939,0,0
get-pdf,default,7,77,1382089,63080225,0,0
get-pdf,default,8,77,1382089,78986005,0,0
get-pdf,default,9,77,1382089,16896118,0,0
get-pdf,default,10,77,1382089,62692315,0,0
get-pdf,default,11,77,1382089,17835125,0,0
get-pdf,default,12,77,1382089,64453476,0,0
get-pdf,default,13,77,1382089,17277653,0,0
get-pdf,default,14,77,1382089,67478018,0,0
get-pdf,default,15,77,1382089,80178583,0,0
get-pdf,default,16,77,1382089,25368714,0,0
get-pdf,default,17,77,1382089,59176360,0,0
get-pdf,default,18,77,1382089,21665295,0,0
get-pdf,default,19,77,1382089,81356190,0,0
get-pdf,default,20,77,1382089,56679074,0,0
get-pdf,default,21,77,1382089,16760663,0,0
get-pdf,default,22,77,1382089,67730794,0,0
get-pdf,default,23,77,1382089,16015653,0,0
get-pdf,default,24,77,1382089,65924276,0,0
get-pdf,default,25,77,1382089,79703741,0,0
get-pdf,default,26,77,1382089,17129006,0,0
get-pdf,default,27,77,1382089,65043433,0,0
get-pdf,default,28,77,1382089,16502170,0,0
get-pdf,default,29,77,1382089,61185808,0,0
get-pdf,default,30,77,1382089,81855386,0,0
get-pdf,default,31,77,1382089,17125038,0,0
get-pdf,default,32,77,1382089,66976431,0,0
get-pdf,default,33,77,1382089,18885804,0,0
get-pdf,default,34,77,1382089,63437883,0,0
get-pdf,default,35,77,1382089,19079676,0,0
get-pdf,default,36,77,1382089,64615469,0,0
get-pdf,default,37,77,1382089,76343441,0,0
get-pdf,default,38,77,1382089,16300601,0,0
get-pdf,default,39,77,1382089,65317295,0,0
get-pdf,default,40,77,1382089,15921516,0,0
get-pdf,default,41,77,1382089,66111655,0,0
get-pdf,default,42,77,1382089,79852230,0,0
get-pdf,default,43,77,1382089,30496971,0,0
get-pdf,default,44,77,1382089,52614801,0,0
get-pdf,default,45,77,1382089,83779895,0,0
get-pdf,default,46,77,1382089,20374453,0,0
get-pdf,default,47,77,1382089,66129452,0,0
get-pdf,default,48,77,1382089,16063786,0,0
get-pdf,default,49,77,1382089,61911268,0,0
get-pdf,default,50,77,1382089,18283267,0,0
compile,small-update,1,81,431,544211818,0.000345,0.469076
compile,small-update,2,81,431,479305873,0.000381,0.476927
compile,small-update,3,81,431,460545585,0.000358,0.458773
compile,small-update,4,81,431,492151556,0.000349,0.490318
compile,small-update,5,81,430,553706214,0.00035,0.482423
compile,small-update,6,81,431,461891871,0.000301,0.460004
compile,small-update,7,81,431,488047832,0.000516,0.485877
compile,small-update,8,81,429,546275125,0.0003,0.544386
compile,small-update,9,81,431,486338847,0.000393,0.484261
compile,small-update,10,81,431,489987763,0.000429,0.488133
compile,small-update,11,81,431,552461652,0.000388,0.475175
compile,small-update,12,81,431,479530743,0.000336,0.477715
compile,small-update,13,81,431,494102524,0.000611,0.491416
compile,small-update,14,81,431,549750505,0.000701,0.547291
compile,small-update,15,81,431,510744866,0.000386,0.508687
compile,small-update,16,81,431,546956987,0.000433,0.544847
compile,small-update,17,81,431,497352227,0.000343,0.495307
compile,small-update,18,81,431,490265109,0.000534,0.486987
compile,small-update,19,81,431,545937886,0.044856,0.425914
compile,small-update,20,81,431,487381166,0.000345,0.485398
compile,small-update,21,81,431,485696406,0.000334,0.483781
compile,small-update,22,81,431,486377677,0.000526,0.483073
compile,small-update,23,81,431,505455752,0.000374,0.503626
compile,small-update,24,81,431,481951717,0.000319,0.479992
compile,small-update,25,81,430,484936505,0.000361,0.48301
compile,small-update,26,81,430,487926943,0.00034,0.486097
compile,small-update,27,81,431,506889885,0.000457,0.504691
compile,small-update,28,81,431,516273577,0.000338,0.508275
compile,small-update,29,81,431,454006233,0.000308,0.451958
compile,small-update,30,81,430,541094130,0.00035,0.461702
compile,small-update,31,81,431,399530604,0.000326,0.397692
compile,small-update,32,81,431,483646201,0.000316,0.481857
compile,small-update,33,81,431,474405965,0.000376,0.472546
compile,small-update,34,81,431,484005716,0.000311,0.482069
compile,small-update,35,81,431,484646602,0.000322,0.482661
compile,small-update,36,81,431,565144743,0.002761,0.487768
compile,small-update,37,81,431,457151594,0.000523,0.453692
compile,small-update,38,81,431,576058777,0.000354,0.574094
compile,small-update,39,81,431,571391515,0.000356,0.568858
compile,small-update,40,81,431,506097869,0.000376,0.503006
compile,small-update,41,81,430,465326486,0.00057,0.463263
compile,small-update,42,81,431,502541953,0.000371,0.500639
compile,small-update,43,81,431,490286858,0.000305,0.488431
compile,small-update,44,81,431,559276595,0.000453,0.557343
compile,small-update,45,81,431,471046072,0.000404,0.468901
compile,small-update,46,81,430,487313762,0.00031,0.485064
compile,small-update,47,81,431,561848048,0.001247,0.551627
compile,small-update,48,81,431,496360461,0.000358,0.494093
compile,small-update,49,81,431,472717428,0.000374,0.470829
compile,small-update,50,81,430,484002952,0.000333,0.48223
compile,large-update,1,80,2908,1622951874,0.001917,1.61944
compile,large-update,2,80,2908,1617612145,0.004687,1.611
compile,large-update,3,80,2908,1651067500,0.002041,1.64734
compile,large-update,4,80,2908,1688583045,0.001843,1.61315
compile,large-update,5,80,2907,1611563160,0.001789,1.60812
compile,large-update,6,80,2907,1643619430,0.002056,1.63994
compile,large-update,7,80,2908,1689110721,0.002164,1.68538
