type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,42,56481650
update-file,secs/acks.tex,2,781,42,53863840
update-file,secs/acks.tex,3,781,42,42106537
update-file,secs/acks.tex,4,781,42,65488621
update-file,secs/acks.tex,5,781,42,42171838
update-file,secs/acks.tex,6,781,42,74255984
update-file,secs/acks.tex,7,781,42,41453842
update-file,secs/acks.tex,8,781,42,50626162
update-file,secs/acks.tex,9,781,42,35029074
update-file,secs/acks.tex,10,781,42,58572630
update-file,secs/acks.tex,11,781,42,45442782
update-file,secs/acks.tex,12,781,42,54521704
update-file,secs/acks.tex,13,781,42,71671396
update-file,secs/acks.tex,14,781,42,47116244
update-file,secs/acks.tex,15,781,42,49157440
update-file,secs/acks.tex,16,781,42,40971281
update-file,secs/acks.tex,17,781,42,60595596
update-file,secs/acks.tex,18,781,42,65591266
update-file,secs/acks.tex,19,781,42,38880423
update-file,secs/acks.tex,20,781,42,52683357
update-file,secs/acks.tex,21,781,42,88933541
update-file,secs/acks.tex,22,781,42,39393582
update-file,secs/acks.tex,23,781,42,41970328
update-file,secs/acks.tex,24,781,42,39321591
update-file,secs/acks.tex,25,781,42,39627199
update-file,secs/acks.tex,26,781,42,39582388
update-file,secs/acks.tex,27,781,42,37166646
update-file,secs/acks.tex,28,781,42,42849565
update-file,secs/acks.tex,29,781,42,42273287
update-file,secs/acks.tex,30,781,42,68122292
update-file,secs/acks.tex,31,781,42,36912408
update-file,secs/acks.tex,32,781,42,36578070
update-file,secs/acks.tex,33,781,42,59690963
update-file,secs/acks.tex,34,781,42,40451815
update-file,secs/acks.tex,35,781,42,64776667
update-file,secs/acks.tex,36,781,42,39653520
update-file,secs/acks.tex,37,781,42,42941154
update-file,secs/acks.tex,38,781,42,40856144
update-file,secs/acks.tex,39,781,42,49282617
update-file,secs/acks.tex,40,781,42,41338177
update-file,secs/acks.tex,41,781,42,42100811
update-file,secs/acks.tex,42,781,42,62101569
update-file,secs/acks.tex,43,781,42,37674677
update-file,secs/acks.tex,44,781,42,39202949
update-file,secs/acks.tex,45,781,42,58653034
update-file,secs/acks.tex,46,781,42,37863693
update-file,secs/acks.tex,47,781,42,47965536
update-file,secs/acks.tex,48,781,42,35671927
update-file,secs/acks.tex,49,781,42,88775384
update-file,secs/acks.tex,50,781,42,52024047
update-file,secs/multi.tex,1,1217,43,73689642
update-file,secs/multi.tex,2,1217,43,42841553
update-file,secs/multi.tex,3,1217,43,38224818
update-file,secs/multi.tex,4,1217,43,66446870
update-file,secs/multi.tex,5,1217,43,65009647
update-file,secs/multi.tex,6,1217,43,65935159
update-file,secs/multi.tex,7,1217,43,71818448
update-file,secs/multi.tex,8,1217,43,75640287
update-file,secs/multi.tex,9,1217,43,101080114
update-file,secs/multi.tex,10,1217,43,75272861
update-file,secs/multi.tex,11,1217,43,36829135
update-file,secs/multi.tex,12,1217,43,76934997
update-file,secs/multi.tex,13,1217,43,38749558
update-file,secs/multi.tex,14,1217,43,54017054
update-file,secs/multi.tex,15,1217,43,83279058
update-file,secs/multi.tex,16,1217,43,39762977
update-file,secs/multi.tex,17,1217,43,79720410
update-file,secs/multi.tex,18,1217,43,70334268
update-file,secs/multi.tex,19,1217,43,51739588
update-file,secs/multi.tex,20,1217,43,81284623
update-file,secs/multi.tex,21,1217,43,36904527
update-file,secs/multi.tex,22,1217,43,40100686
update-file,secs/multi.tex,23,1217,43,40158085
update-file,secs/multi.tex,24,1217,43,41484261
update-file,secs/multi.tex,25,1217,43,40838511
update-file,secs/multi.tex,26,1217,43,46361580
update-file,secs/multi.tex,27,1217,43,55098343
update-file,secs/multi.tex,28,1217,43,63870192
update-file,secs/multi.tex,29,1217,43,42700108
update-file,secs/multi.tex,30,1217,43,44582761
update-file,secs/multi.tex,31,1217,43,38357458
update-file,secs/multi.tex,32,1217,43,72815547
update-file,secs/multi.tex,33,1217,43,37848489
update-file,secs/multi.tex,34,1217,43,38402929
update-file,secs/multi.tex,35,1217,43,41026206
update-file,secs/multi.tex,36,1217,43,53713360
update-file,secs/multi.tex,37,1217,43,42871847
update-file,secs/multi.tex,38,1217,43,59636372
update-file,secs/multi.tex,39,1217,43,38211873
update-file,secs/multi.tex,40,1217,43,53145658
update-file,secs/multi.tex,41,1217,43,41918585
update-file,secs/multi.tex,42,1217,43,40456752
update-file,secs/multi.tex,43,1217,43,37831567
update-file,secs/multi.tex,44,1217,43,41044293
update-file,secs/multi.tex,45,1217,43,41226590
update-file,secs/multi.tex,46,1217,43,58599080
update-file,secs/multi.tex,47,1217,43,69084303
update-file,secs/multi.tex,48,1217,43,41250034
update-file,secs/multi.tex,49,1217,43,64034101
update-file,secs/multi.tex,50,1217,43,54916791
update-file,secs/core.tex,1,12157,42,63059518
update-file,secs/core.tex,2,12157,42,48350043
update-file,secs/core.tex,3,12157,42,73245261
update-file,secs/core.tex,4,12157,42,72886480
update-file,secs/core.tex,5,12157,42,79919555
update-file,secs/core.tex,6,12157,42,56281556
update-file,secs/core.tex,7,12157,42,84906468
update-file,secs/core.tex,8,12157,42,55603497
update-file,secs/core.tex,9,12157,42,61669800
update-file,secs/core.tex,10,12157,42,58908582
update-file,secs/core.tex,11,12157,42,72463317
update-file,secs/core.tex,12,12157,42,42649099
update-file,secs/core.tex,13,12157,42,39712328
update-file,secs/core.tex,14,12157,42,89874804
update-file,secs/core.tex,15,12157,42,50770235
update-file,secs/core.tex,16,12157,42,79321407
update-file,secs/core.tex,17,12157,42,81107772
update-file,secs/core.tex,18,12157,42,65833324
update-file,secs/core.tex,19,12157,42,50418521
update-file,secs/core.tex,20,12157,42,68710178
update-file,secs/core.tex,21,12157,42,40218468
update-file,secs/core.tex,22,12157,42,47678283
update-file,secs/core.tex,23,12157,42,37555304
update-file,secs/core.tex,24,12157,42,67549981
update-file,secs/core.tex,25,12157,42,87636509
update-file,secs/core.tex,26,12157,42,68985357
update-file,secs/core.tex,27,12157,42,83383626
update-file,secs/core.tex,28,12157,42,63480879
update-file,secs/core.tex,29,12157,42,61972628
update-file,secs/core.tex,30,12157,42,56871324
update-file,secs/core.tex,31,12157,42,74932573
update-file,secs/core.tex,32,12157,42,45521126
update-file,secs/core.tex,33,12157,42,57766598
update-file,secs/core.tex,34,12157,42,52626399
update-file,secs/core.tex,35,12157,42,83360523
update-file,secs/core.tex,36,12157,42,50835381
update-file,secs/core.tex,37,12157,42,38600303
update-file,secs/core.tex,38,12157,42,81468602
update-file,secs/core.tex,39,12157,42,74707336
update-file,secs/core.tex,40,12157,42,53323797
update-file,secs/core.tex,41,12157,42,79309308
update-file,secs/core.tex,42,12157,42,38740447
update-file,secs/core.tex,43,12157,42,55914802
update-file,secs/core.tex,44,12157,42,43782308
update-file,secs/core.tex,45,12157,42,42110180
update-file,secs/core.tex,46,12157,42,67745981
update-file,secs/core.tex,47,12157,42,99943345
update-file,secs/core.tex,48,12157,42,43734227
update-file,secs/core.tex,49,12157,42,55310386
update-file,secs/core.tex,50,12157,42,54243516
update-file,sampleteaser.pdf,1,585430,44,137996294
update-file,sampleteaser.pdf,2,585430,44,72442039
update-file,sampleteaser.pdf,3,585430,44,113955556
update-file,sampleteaser.pdf,4,585430,44,183736598
update-file,sampleteaser.pdf,5,585430,44,66969892
update-file,sampleteaser.pdf,6,585430,44,168255123
update-file,sampleteaser.pdf,7,585430,44,131476661
update-file,sampleteaser.pdf,8,585430,44,189423812
update-file,sampleteaser.pdf,9,585430,44,133172410
update-file,sampleteaser.pdf,10,585430,44,136735916
update-file,sampleteaser.pdf,11,585430,44,149967698
update-file,sampleteaser.pdf,12,585430,44,128867177
update-file,sampleteaser.pdf,13,585430,44,89098525
update-file,sampleteaser.pdf,14,585430,44,153387170
update-file,sampleteaser.pdf,15,585430,44,117510963
update-file,sampleteaser.pdf,16,585430,44,126406167
update-file,sampleteaser.pdf,17,585430,44,57657028
update-file,sampleteaser.pdf,18,585430,44,120270714
