type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,42,44411693
update-file,secs/acks.tex,2,781,42,150931775
update-file,secs/acks.tex,3,781,42,76154209
update-file,secs/acks.tex,4,781,42,53624997
update-file,secs/acks.tex,5,781,42,42519726
update-file,secs/acks.tex,6,781,42,62909879
update-file,secs/acks.tex,7,781,42,62359745
update-file,secs/acks.tex,8,781,42,100202725
update-file,secs/acks.tex,9,781,42,65780751
update-file,secs/acks.tex,10,781,42,42367673
update-file,secs/acks.tex,11,781,42,40635921
update-file,secs/acks.tex,12,781,42,40530049
update-file,secs/acks.tex,13,781,42,92821535
update-file,secs/acks.tex,14,781,42,53255706
update-file,secs/acks.tex,15,781,42,103251792
update-file,secs/acks.tex,16,781,42,40288582
update-file,secs/acks.tex,17,781,42,105424415
update-file,secs/acks.tex,18,781,42,102115555
update-file,secs/acks.tex,19,781,42,43587800
update-file,secs/acks.tex,20,781,42,65249199
update-file,secs/acks.tex,21,781,42,38443565
update-file,secs/acks.tex,22,781,42,39461325
update-file,secs/acks.tex,23,781,42,106475160
update-file,secs/acks.tex,24,781,42,48424717
update-file,secs/acks.tex,25,781,42,59551129
update-file,secs/acks.tex,26,781,42,65134537
update-file,secs/acks.tex,27,781,42,48755110
update-file,secs/acks.tex,28,781,42,48638076
update-file,secs/acks.tex,29,781,42,50475762
update-file,secs/acks.tex,30,781,42,68955026
update-file,secs/acks.tex,31,781,42,48218611
update-file,secs/acks.tex,32,781,42,44123696
update-file,secs/acks.tex,33,781,42,49130081
update-file,secs/acks.tex,34,781,42,44697452
update-file,secs/acks.tex,35,781,42,44656404
update-file,secs/acks.tex,36,781,42,58141708
update-file,secs/acks.tex,37,781,42,41598416
update-file,secs/acks.tex,38,781,42,64567691
update-file,secs/acks.tex,39,781,42,45122233
update-file,secs/acks.tex,40,781,42,54909847
update-file,secs/acks.tex,41,781,42,53633405
update-file,secs/acks.tex,42,781,42,42380093
update-file,secs/acks.tex,43,781,42,39364782
update-file,secs/acks.tex,44,781,42,43700053
update-file,secs/acks.tex,45,781,42,52447171
update-file,secs/acks.tex,46,781,42,39304570
update-file,secs/acks.tex,47,781,42,73057152
update-file,secs/acks.tex,48,781,42,47298601
update-file,secs/acks.tex,49,781,42,56359979
update-file,secs/acks.tex,50,781,42,40996272
update-file,secs/multi.tex,1,1217,43,42994909
update-file,secs/multi.tex,2,1217,43,40849862
update-file,secs/multi.tex,3,1217,43,42157840
update-file,secs/multi.tex,4,1217,43,40490865
update-file,secs/multi.tex,5,1217,43,39640451
update-file,secs/multi.tex,6,1217,43,41210896
update-file,secs/multi.tex,7,1217,43,43195867
update-file,secs/multi.tex,8,1217,43,139624250
update-file,secs/multi.tex,9,1217,43,40756578
update-file,secs/multi.tex,10,1217,43,48906571
update-file,secs/multi.tex,11,1217,43,53550261
update-file,secs/multi.tex,12,1217,43,41114650
update-file,secs/multi.tex,13,1217,43,60234172
update-file,secs/multi.tex,14,1217,43,68761524
update-file,secs/multi.tex,15,1217,43,43801086
update-file,secs/multi.tex,16,1217,43,43408942
update-file,secs/multi.tex,17,1217,43,38340617
update-file,secs/multi.tex,18,1217,43,39394834
update-file,secs/multi.tex,19,1217,43,61267666
update-file,secs/multi.tex,20,1217,43,45970931
update-file,secs/multi.tex,21,1217,43,65076099
update-file,secs/multi.tex,22,1217,43,45831295
update-file,secs/multi.tex,23,1217,43,55838678
update-file,secs/multi.tex,24,1217,43,41187941
update-file,secs/multi.tex,25,1217,43,59611285
update-file,secs/multi.tex,26,1217,43,39352749
update-file,secs/multi.tex,27,1217,43,38224262
update-file,secs/multi.tex,28,1217,43,41539260
update-file,secs/multi.tex,29,1217,43,49791978
update-file,secs/multi.tex,30,1217,43,73300278
update-file,secs/multi.tex,31,1217,43,70483325
update-file,secs/multi.tex,32,1217,43,42335571
update-file,secs/multi.tex,33,1217,43,41707673
update-file,secs/multi.tex,34,1217,43,40664382
update-file,secs/multi.tex,35,1217,43,42134924
update-file,secs/multi.tex,36,1217,43,39438099
update-file,secs/multi.tex,37,1217,43,41256819
update-file,secs/multi.tex,38,1217,43,57194018
update-file,secs/multi.tex,39,1217,43,85566516
update-file,secs/multi.tex,40,1217,43,57787946
update-file,secs/multi.tex,41,1217,43,66054503
update-file,secs/multi.tex,42,1217,43,44135923
update-file,secs/multi.tex,43,1217,43,50271302
update-file,secs/multi.tex,44,1217,43,54435697
update-file,secs/multi.tex,45,1217,43,108775561
update-file,secs/multi.tex,46,1217,43,56085274
update-file,secs/multi.tex,47,1217,43,66935786
update-file,secs/multi.tex,48,1217,43,57224032
