type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,58,24078940
update-file,secs/acks.tex,2,781,58,23594713
update-file,secs/acks.tex,3,781,58,42008945
update-file,secs/acks.tex,4,781,58,41942301
update-file,secs/acks.tex,5,781,58,26570938
update-file,secs/acks.tex,6,781,58,42923065
update-file,secs/acks.tex,7,781,58,38857486
update-file,secs/acks.tex,8,781,58,24778717
update-file,secs/acks.tex,9,781,58,75750367
update-file,secs/acks.tex,10,781,58,66798515
update-file,secs/acks.tex,11,781,58,25285524
update-file,secs/acks.tex,12,781,58,24294550
update-file,secs/acks.tex,13,781,58,24998818
update-file,secs/acks.tex,14,781,58,40776914
update-file,secs/acks.tex,15,781,58,35077780
update-file,secs/acks.tex,16,781,58,50646636
update-file,secs/acks.tex,17,781,58,25979854
update-file,secs/acks.tex,18,781,58,74163228
update-file,secs/acks.tex,19,781,58,23370437
update-file,secs/acks.tex,20,781,58,26523117
update-file,secs/acks.tex,21,781,58,60770339
update-file,secs/acks.tex,22,781,58,116060774
update-file,secs/acks.tex,23,781,58,39093917
update-file,secs/acks.tex,24,781,58,25926783
update-file,secs/acks.tex,25,781,58,40810406
update-file,secs/acks.tex,26,781,58,30309223
update-file,secs/acks.tex,27,781,58,26258854
update-file,secs/acks.tex,28,781,58,21793448
update-file,secs/acks.tex,29,781,58,58269573
update-file,secs/acks.tex,30,781,58,43419084
update-file,secs/acks.tex,31,781,58,25130339
update-file,secs/acks.tex,32,781,58,40977731
update-file,secs/acks.tex,33,781,58,24346980
update-file,secs/acks.tex,34,781,58,21765799
update-file,secs/acks.tex,35,781,58,23383930
update-file,secs/acks.tex,36,781,58,46750074
update-file,secs/acks.tex,37,781,58,25283468
update-file,secs/acks.tex,38,781,58,24883735
update-file,secs/acks.tex,39,781,58,41859472
update-file,secs/acks.tex,40,781,58,24866567
update-file,secs/acks.tex,41,781,58,48373402
update-file,secs/acks.tex,42,781,58,39413967
update-file,secs/acks.tex,43,781,58,50988806
update-file,secs/acks.tex,44,781,58,44041295
update-file,secs/acks.tex,45,781,58,22788728
update-file,secs/acks.tex,46,781,58,25366939
update-file,secs/acks.tex,47,781,58,45251895
update-file,secs/acks.tex,48,781,58,28002826
update-file,secs/acks.tex,49,781,58,174232591
update-file,secs/acks.tex,50,781,58,27825273
update-file,secs/multi.tex,1,1217,60,22783483
update-file,secs/multi.tex,2,1217,60,55713643
update-file,secs/multi.tex,3,1217,60,26065793
update-file,secs/multi.tex,4,1217,60,54512373
update-file,secs/multi.tex,5,1217,60,24493755
update-file,secs/multi.tex,6,1217,60,23168595
update-file,secs/multi.tex,7,1217,60,37855724
update-file,secs/multi.tex,8,1217,60,21310067
update-file,secs/multi.tex,9,1217,60,41845498
update-file,secs/multi.tex,10,1217,60,22742980
update-file,secs/multi.tex,11,1217,60,123907867
update-file,secs/multi.tex,12,1217,60,38204260
update-file,secs/multi.tex,13,1217,60,25231412
update-file,secs/multi.tex,14,1217,60,24479165
update-file,secs/multi.tex,15,1217,60,63052476
update-file,secs/multi.tex,16,1217,60,24878288
update-file,secs/multi.tex,17,1217,60,66964530
update-file,secs/multi.tex,18,1217,60,22650405
update-file,secs/multi.tex,19,1217,60,24746158
update-file,secs/multi.tex,20,1217,60,22687391
update-file,secs/multi.tex,21,1217,60,44772164
update-file,secs/multi.tex,22,1217,60,43052196
update-file,secs/multi.tex,23,1217,60,59885666
update-file,secs/multi.tex,24,1217,60,62774819
update-file,secs/multi.tex,25,1217,60,27149391
