type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,34700,4225644583,0.006339,4.21666
compile,full,2,80,34700,4334931616,0.006517,4.32582
compile,full,3,80,34700,4313405293,0.006631,4.30399
compile,full,4,80,34700,4245179275,0.006245,4.23636
compile,full,5,80,34700,4239965207,0.006849,4.23038
compile,full,6,80,34700,4238306157,0.018636,4.21701
compile,full,7,80,34700,4254668590,0.006984,4.24505
compile,full,8,80,34698,4222586747,0.006575,4.2133
compile,full,9,80,34700,4231350283,0.006369,4.22232
compile,full,10,80,34700,4254172140,0.007587,4.24378
compile,full,11,80,34700,4274568589,0.006394,4.26546
compile,full,12,80,34699,4443848218,0.006517,4.43456
compile,full,13,80,34700,4225111290,0.006125,4.21633
compile,full,14,80,34700,4222123100,0.006268,4.21315
compile,full,15,80,34700,4239674402,0.006341,4.23064
compile,full,16,80,34700,4246311219,0.007337,4.23623
compile,full,17,80,34700,4242312618,0.006353,4.23325
compile,full,18,80,34700,4226464246,0.007232,4.21657
compile,full,19,80,34700,4286842748,0.007355,4.27679
compile,full,20,80,34700,4212158122,0.006399,4.20308
compile,full,21,80,34700,4292985209,0.007501,4.28274
compile,full,22,80,34700,4254487756,0.006575,4.24529
compile,full,23,80,34700,4219288208,0.006466,4.21007
compile,full,24,80,34700,4210324595,0.006392,4.20125
compile,full,25,80,34700,4238343374,0.006627,4.22898
compile,full,26,80,34700,4279338354,0.006447,4.27016
compile,full,27,80,34700,4252128628,0.006414,4.24299
compile,full,28,80,34700,4243619654,0.007245,4.23367
compile,full,29,80,34700,4227862890,0.007435,4.21767
compile,full,30,80,34700,4289776074,0.007328,4.27959
compile,full,31,80,34700,4255298865,0.015214,4.23714
compile,full,32,80,34700,4268960002,0.006283,4.25967
compile,full,33,80,34700,4261732124,0.006257,4.25259
compile,full,34,80,34699,4251788518,0.008466,4.24029
compile,full,35,80,34700,4258890768,0.007063,4.2489
compile,full,36,80,34700,4226261066,0.007419,4.2161
compile,full,37,80,34699,4243845719,0.00637,4.23485
compile,full,38,80,34700,4260216700,0.007764,4.24973
compile,full,39,80,34700,4302499205,0.007178,4.29263
compile,full,40,80,34700,4241296914,0.007946,4.23064
compile,full,41,80,34700,4230061434,0.006838,4.22041
compile,full,42,80,34700,4251538747,0.006525,4.24225
compile,full,43,80,34700,4213901587,0.006225,4.205
compile,full,44,80,34699,4287444503,0.00634,4.27848
compile,full,45,80,34700,4284190556,0.006893,4.27468
compile,full,46,80,34700,4261601706,0.006267,4.25259
compile,full,47,80,34700,4222891258,0.006309,4.21116
compile,full,48,80,34700,4273918106,0.006423,4.2648
compile,full,49,80,34700,4227664118,0.006695,4.21833
compile,full,50,80,34700,4351123729,0.016428,4.332
get-pdf,default,1,77,1382089,21161001,0,0
get-pdf,default,2,77,1382089,21519603,0,0
get-pdf,default,3,77,1382089,21734945,0,0
get-pdf,default,4,77,1382089,21781089,0,0
get-pdf,default,5,77,1382089,21510869,0,0
get-pdf,default,6,77,1382089,21277848,0,0
get-pdf,default,7,77,1382089,21651246,0,0
get-pdf,default,8,77,1382089,21683937,0,0
get-pdf,default,9,77,1382089,21497761,0,0
get-pdf,default,10,77,1382089,21764503,0,0
get-pdf,default,11,77,1382089,21247895,0,0
get-pdf,default,12,77,1382089,21506328,0,0
get-pdf,default,13,77,1382089,21451286,0,0
get-pdf,default,14,77,1382089,20957424,0,0
get-pdf,default,15,77,1382089,21259026,0,0
get-pdf,default,16,77,1382089,21327722,0,0
get-pdf,default,17,77,1382089,21052469,0,0
get-pdf,default,18,77,1382089,20991665,0,0
get-pdf,default,19,77,1382089,21566958,0,0
get-pdf,default,20,77,1382089,22160958,0,0
get-pdf,default,21,77,1382089,22046633,0,0
get-pdf,default,22,77,1382089,21889860,0,0
get-pdf,default,23,77,1382089,21573833,0,0
get-pdf,default,24,77,1382089,21606253,0,0
get-pdf,default,25,77,1382089,21390936,0,0
get-pdf,default,26,77,1382089,21456503,0,0
get-pdf,default,27,77,1382089,21544726,0,0
get-pdf,default,28,77,1382089,21299805,0,0
get-pdf,default,29,77,1382089,21803254,0,0
get-pdf,default,30,77,1382089,21826124,0,0
get-pdf,default,31,77,1382089,21611067,0,0
get-pdf,default,32,77,1382089,21601888,0,0
get-pdf,default,33,77,1382089,21683730,0,0
get-pdf,default,34,77,1382089,21437729,0,0
get-pdf,default,35,77,1382089,21496702,0,0
get-pdf,default,36,77,1382089,21873099,0,0
get-pdf,default,37,77,1382089,21783710,0,0
get-pdf,default,38,77,1382089,21413949,0,0
get-pdf,default,39,77,1382089,21229282,0,0
get-pdf,default,40,77,1382089,21165525,0,0
get-pdf,default,41,77,1382089,21082281,0,0
get-pdf,default,42,77,1382089,21036076,0,0
get-pdf,default,43,77,1382089,21570909,0,0
get-pdf,default,44,77,1382089,21358695,0,0
get-pdf,default,45,77,1382089,21448489,0,0
get-pdf,default,46,77,1382089,21364665,0,0
get-pdf,default,47,77,1382089,21399197,0,0
get-pdf,default,48,77,1382089,21417019,0,0
get-pdf,default,49,77,1382089,20895424,0,0
get-pdf,default,50,77,1382089,20803437,0,0
compile,small-update,1,81,431,143473954,0.000396,0.141522
compile,small-update,2,81,431,148667858,0.000417,0.146352
compile,small-update,3,81,431,142193613,0.000456,0.140079
compile,small-update,4,81,431,142758869,0.000414,0.140727
compile,small-update,5,81,431,143526269,0.000356,0.141473
compile,small-update,6,81,430,142878133,0.000366,0.14089
compile,small-update,7,81,431,142350094,0.000405,0.140364
compile,small-update,8,81,431,142027820,0.000393,0.140114
compile,small-update,9,81,431,142535195,0.000357,0.140598
compile,small-update,10,81,430,148957818,0.00043,0.146896
compile,small-update,11,81,431,145106216,0.000348,0.143259
compile,small-update,12,81,431,147445810,0.000359,0.145497
compile,small-update,13,81,431,147824011,0.000509,0.145512
compile,small-update,14,81,430,145654647,0.000503,0.14354
compile,small-update,15,81,431,146319131,0.000486,0.144138
compile,small-update,16,81,431,144151897,0.000386,0.142181
compile,small-update,17,81,430,145684971,0.000349,0.14382
compile,small-update,18,81,431,145160314,0.000444,0.143066
compile,small-update,19,81,431,146754027,0.000377,0.144767
compile,small-update,20,81,431,145326958,0.000437,0.143162
compile,small-update,21,81,431,145239052,0.000464,0.143165
compile,small-update,22,81,431,144695053,0.000416,0.142689
compile,small-update,23,81,430,147280673,0.000414,0.14531
compile,small-update,24,81,431,148351317,0.000434,0.146064
compile,small-update,25,81,431,145937506,0.000478,0.143821
compile,small-update,26,81,431,145581232,0.000396,0.143547
compile,small-update,27,81,431,145323613,0.000479,0.143127
compile,small-update,28,81,431,147974794,0.000414,0.145901
compile,small-update,29,81,431,144756585,0.000452,0.142733
compile,small-update,30,81,431,142967747,0.000407,0.140951
compile,small-update,31,81,431,144984826,0.000477,0.142814
compile,small-update,32,81,431,143859466,0.000447,0.141715
compile,small-update,33,81,430,146423846,0.00047,0.144271
compile,small-update,34,81,429,143765094,0.00038,0.14177
compile,small-update,35,81,431,145573726,0.000433,0.143278
compile,small-update,36,81,431,142431489,0.000397,0.140395
compile,small-update,37,81,431,143780784,0.000384,0.141806
compile,small-update,38,81,429,145285607,0.000382,0.1432
compile,small-update,39,81,431,143995046,0.000379,0.142009
compile,small-update,40,81,431,143941936,0.000383,0.141937
compile,small-update,41,81,431,142159242,0.000384,0.140154
compile,small-update,42,81,431,143982290,0.000426,0.141865
compile,small-update,43,81,431,144861305,0.000434,0.142798
compile,small-update,44,81,431,151816124,0.000365,0.149892
compile,small-update,45,81,430,156280554,0.000526,0.15005
compile,small-update,46,81,431,140934808,0.000379,0.138849
compile,small-update,47,81,430,141217376,0.000381,0.13922
compile,small-update,48,81,431,142706819,0.000342,0.140817
compile,small-update,49,81,431,142094323,0.000385,0.140143
compile,small-update,50,81,430,146740017,0.00044,0.144528
compile,large-update,1,80,2908,465719416,0.002397,0.461314
compile,large-update,2,80,2908,475178940,0.002495,0.471067
compile,large-update,3,80,2908,477378497,0.002229,0.473489
compile,large-update,4,80,2908,469786284,0.001993,0.466179
compile,large-update,5,80,2908,465059071,0.002959,0.460177
compile,large-update,6,80,2908,464396301,0.002113,0.460593
compile,large-update,7,80,2908,463803964,0.002085,0.460038
compile,large-update,8,80,2908,470104512,0.002039,0.466295
compile,large-update,9,80,2908,482777153,0.002153,0.478918
compile,large-update,10,80,2908,516131273,0.001993,0.512513
compile,large-update,11,80,2907,467138797,0.00224,0.463232
compile,large-update,12,80,2908,466860768,0.002063,0.463073
compile,large-update,13,80,2908,466566490,0.002023,0.462812
