type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,34700,4259368220,0.006282,4.25048
compile,full,2,80,34700,4252250680,0.006317,4.24334
compile,full,3,80,34700,4203746968,0.006472,4.1947
compile,full,4,80,34699,4219362070,0.006844,4.20985
compile,full,5,80,34700,4183554163,0.006526,4.17424
compile,full,6,80,34698,4196855816,0.00631,4.18792
compile,full,7,80,34699,4208607787,0.007612,4.19832
compile,full,8,80,34700,4182586372,0.006583,4.17345
compile,full,9,80,34700,4448420086,0.006484,4.43941
compile,full,10,80,34700,4262231718,0.008733,4.25078
compile,full,11,80,34700,4193123554,0.006469,4.18404
compile,full,12,80,34700,4211839570,0.006315,4.20285
compile,full,13,80,34700,4181589535,0.006462,4.17255
compile,full,14,80,34700,4145625017,0.006751,4.13613
compile,full,15,80,34700,4203101724,0.006361,4.19411
compile,full,16,80,34699,4182740095,0.00634,4.17373
compile,full,17,80,34700,4184344434,0.006304,4.17527
compile,full,18,80,34700,4183441051,0.006382,4.17452
compile,full,19,80,34700,4205916491,0.006442,4.19674
compile,full,20,80,34700,4191909664,0.006357,4.18297
compile,full,21,80,34699,4304178396,0.006914,4.29456
compile,full,22,80,34700,4201984214,0.006389,4.19304
compile,full,23,80,34700,4165480460,0.006514,4.15632
compile,full,24,80,34700,4196055701,0.006462,4.18703
compile,full,25,80,34700,4202130083,0.006506,4.19303
compile,full,26,80,34700,4178337192,0.006641,4.16908
compile,full,27,80,34700,4188719109,0.006236,4.1799
compile,full,28,80,34699,4212022340,0.00708,4.20219
compile,full,29,80,34700,4198386144,0.007367,4.1884
compile,full,30,80,34700,4155577203,0.006582,4.14628
compile,full,31,80,34700,4140216069,0.006717,4.13081
compile,full,32,80,34700,4228932240,0.006655,4.21959
compile,full,33,80,34700,4208801719,0.006485,4.19945
compile,full,34,80,34700,4254676264,0.006223,4.24573
compile,full,35,80,34699,4211760411,0.006427,4.20275
compile,full,36,80,34700,4238620434,0.006138,4.22973
compile,full,37,80,34699,4242164785,0.006438,4.23306
compile,full,38,80,34700,4183773273,0.006571,4.17462
compile,full,39,80,34700,4231951294,0.006524,4.22291
compile,full,40,80,34700,4237088603,0.007538,4.22683
compile,full,41,80,34700,4212629285,0.006542,4.20331
compile,full,42,80,34700,4205906042,0.008021,4.19505
compile,full,43,80,34700,4225744894,0.007559,4.21555
compile,full,44,80,34699,4264116817,0.00672,4.25478
compile,full,45,80,34700,4237849866,0.007478,4.22777
compile,full,46,80,34700,4209187551,0.007224,4.19936
compile,full,47,80,34700,4189994196,0.006765,4.18069
compile,full,48,80,34699,4199944628,0.007409,4.18971
compile,full,49,80,34700,4141960231,0.007257,4.13203
compile,full,50,80,34700,4210643203,0.006532,4.20152
get-pdf,default,1,77,1382089,20257970,0,0
get-pdf,default,2,77,1382089,20657596,0,0
get-pdf,default,3,77,1382089,20161142,0,0
get-pdf,default,4,77,1382089,21262364,0,0
get-pdf,default,5,77,1382089,20696676,0,0
get-pdf,default,6,77,1382089,20743890,0,0
get-pdf,default,7,77,1382089,20543845,0,0
get-pdf,default,8,77,1382089,20612042,0,0
get-pdf,default,9,77,1382089,20667737,0,0
get-pdf,default,10,77,1382089,20291168,0,0
get-pdf,default,11,77,1382089,20714553,0,0
get-pdf,default,12,77,1382089,20452570,0,0
get-pdf,default,13,77,1382089,20458519,0,0
get-pdf,default,14,77,1382089,20837417,0,0
get-pdf,default,15,77,1382089,29563646,0,0
get-pdf,default,16,77,1382089,20337642,0,0
get-pdf,default,17,77,1382089,20995192,0,0
get-pdf,default,18,77,1382089,26344781,0,0
get-pdf,default,19,77,1382089,21238226,0,0
get-pdf,default,20,77,1382089,21432389,0,0
get-pdf,default,21,77,1382089,21007272,0,0
get-pdf,default,22,77,1382089,21274568,0,0
get-pdf,default,23,77,1382089,20568491,0,0
get-pdf,default,24,77,1382089,20296512,0,0
get-pdf,default,25,77,1382089,20331936,0,0
get-pdf,default,26,77,1382089,20241494,0,0
get-pdf,default,27,77,1382089,20221566,0,0
get-pdf,default,28,77,1382089,20301052,0,0
get-pdf,default,29,77,1382089,20334657,0,0
get-pdf,default,30,77,1382089,20308424,0,0
get-pdf,default,31,77,1382089,20863440,0,0
get-pdf,default,32,77,1382089,20894707,0,0
get-pdf,default,33,77,1382089,21022317,0,0
get-pdf,default,34,77,1382089,20545700,0,0
get-pdf,default,35,77,1382089,20429495,0,0
get-pdf,default,36,77,1382089,20913722,0,0
get-pdf,default,37,77,1382089,20560488,0,0
get-pdf,default,38,77,1382089,20769681,0,0
get-pdf,default,39,77,1382089,20476637,0,0
get-pdf,default,40,77,1382089,20587477,0,0
get-pdf,default,41,77,1382089,20512138,0,0
get-pdf,default,42,77,1382089,20253871,0,0
get-pdf,default,43,77,1382089,20388160,0,0
get-pdf,default,44,77,1382089,20503066,0,0
get-pdf,default,45,77,1382089,20690056,0,0
get-pdf,default,46,77,1382089,20683293,0,0
get-pdf,default,47,77,1382089,20612998,0,0
get-pdf,default,48,77,1382089,20481251,0,0
get-pdf,default,49,77,1382089,20576194,0,0
get-pdf,default,50,77,1382089,20480348,0,0
compile,small-update,1,81,431,144894981,0.000456,0.142748
compile,small-update,2,81,431,143337369,0.000467,0.141021
compile,small-update,3,81,431,150803079,0.000382,0.148829
compile,small-update,4,81,431,143010864,0.000348,0.141128
compile,small-update,5,81,430,144188244,0.000365,0.14228
compile,small-update,6,81,431,141454557,0.000353,0.139557
compile,small-update,7,81,431,141104780,0.000379,0.139138
compile,small-update,8,81,431,145305689,0.000357,0.143502
compile,small-update,9,81,431,146686108,0.000348,0.144627
compile,small-update,10,81,431,147302179,0.000352,0.145505
compile,small-update,11,81,431,145994510,0.000345,0.144146
compile,small-update,12,81,431,142845680,0.000342,0.140976
compile,small-update,13,81,431,146919782,0.000463,0.144765
compile,small-update,14,81,431,145639590,0.000343,0.143708
compile,small-update,15,81,430,145805661,0.00041,0.143789
compile,small-update,16,81,431,144282616,0.000411,0.142251
compile,small-update,17,81,431,151410988,0.000349,0.149559
compile,small-update,18,81,431,144840360,0.000443,0.142871
compile,small-update,19,81,431,144937871,0.000465,0.142918
compile,small-update,20,81,431,145834245,0.000398,0.143933
compile,small-update,21,81,431,145214950,0.000426,0.143249
compile,small-update,22,81,431,143446796,0.000334,0.141707
compile,small-update,23,81,431,147240297,0.000346,0.145328
compile,small-update,24,81,431,146868531,0.000465,0.144638
compile,small-update,25,81,430,144965965,0.000452,0.14301
compile,small-update,26,81,431,144021493,0.000335,0.142146
compile,small-update,27,81,431,142515340,0.000352,0.140671
compile,small-update,28,81,431,143033145,0.000439,0.140094
compile,small-update,29,81,431,145971375,0.000451,0.143811
compile,small-update,30,81,431,143329602,0.000447,0.141323
compile,small-update,31,81,431,142635197,0.000399,0.140515
compile,small-update,32,81,431,142788309,0.000447,0.140826
compile,small-update,33,81,431,141083914,0.000416,0.139075
compile,small-update,34,81,431,143051458,0.000345,0.141222
compile,small-update,35,81,431,147884905,0.000367,0.145747
compile,small-update,36,81,431,143917888,0.000431,0.141907
compile,small-update,37,81,431,142873705,0.000344,0.141005
compile,small-update,38,81,431,142198397,0.000353,0.140324
compile,small-update,39,81,431,144148062,0.000373,0.142215
compile,small-update,40,81,431,141262999,0.000331,0.139495
