type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,44984,4689471811,0.469948,4.06567
compile,full,2,80,44984,4497746888,0.505172,3.9199
compile,full,3,80,44983,4590858261,0.49642,3.95585
compile,full,4,80,44984,4525218825,0.507884,3.89015
compile,full,5,80,44984,4569891678,0.574143,3.83244
compile,full,6,80,44984,4459599629,0.465758,3.86706
compile,full,7,80,44984,4436686718,0.441835,3.87549
compile,full,8,80,44984,4515490042,0.440163,3.8912
compile,full,9,80,44984,4444377159,0.465816,3.87648
compile,full,10,80,44984,4773911327,0.577657,4.09996
compile,full,11,80,44984,4510544451,0.456657,3.97208
compile,full,12,80,44984,4497824416,0.461114,3.93752
compile,full,13,80,44984,4448786662,0.442607,3.90653
compile,full,14,80,44984,4602112264,0.504111,4.03773
compile,full,15,80,44984,4417301676,0.415941,3.88893
compile,full,16,80,44983,4576256784,0.482668,3.97387
compile,full,17,80,44984,4495804728,0.469121,3.88806
compile,full,18,80,44984,4471492854,0.455168,3.91863
compile,full,19,80,44984,4562297339,0.496505,3.89868
compile,full,20,80,44983,4653989903,0.536825,3.89524
compile,full,21,80,44984,4559017143,0.435452,3.96932
compile,full,22,80,44984,4543811175,0.522339,3.89399
compile,full,23,80,44984,4548408383,0.454105,3.9427
compile,full,24,80,44984,4549505039,0.556379,3.89339
compile,full,25,80,44984,4497250537,0.484916,3.84971
compile,full,26,80,44983,4425948054,0.49486,3.87232
compile,full,27,80,44983,4511562505,0.495113,3.86721
compile,full,28,80,44983,4502086753,0.451363,3.92342
compile,full,29,80,44984,4443509979,0.450144,3.87022
compile,full,30,80,44984,4473901103,0.435981,3.88245
compile,full,31,80,44984,4566507374,0.504847,3.96426
compile,full,32,80,44984,4698344555,0.502874,3.97448
compile,full,33,80,44984,4506995042,0.440096,3.85877
compile,full,34,80,44984,4508703040,0.479186,3.89526
compile,full,35,80,44984,4601536392,0.475958,3.88958
compile,full,36,80,44984,4439209543,0.440515,3.88539
compile,full,37,80,44983,4457334511,0.437232,3.86936
compile,full,38,80,44984,4538616349,0.479362,3.92255
compile,full,39,80,44983,4419762869,0.39868,3.89724
compile,full,40,80,44984,4571366811,0.446158,3.88803
compile,full,41,80,44984,4523533918,0.478497,3.90564
compile,full,42,80,44984,4545428851,0.472661,3.94517
compile,full,43,80,44983,4754412597,0.660509,3.94352
compile,full,44,80,44984,4416978439,0.451354,3.83822
compile,full,45,80,44984,4730175542,0.524072,4.01929
compile,full,46,80,44984,4548941100,0.477429,3.8583
compile,full,47,80,44984,4592787292,0.477961,3.97078
compile,full,48,80,44984,4565339839,0.507399,3.93323
compile,full,49,80,44984,4525893692,0.474814,3.92369
compile,full,50,80,44984,4505416841,0.441687,3.87073
get-pdf,default,1,32,1405986,137005215,0,0
get-pdf,default,2,32,1405986,125580070,0,0
get-pdf,default,3,32,1405986,116315597,0,0
get-pdf,default,4,32,1405986,128501516,0,0
get-pdf,default,5,32,1405986,146087473,0,0
get-pdf,default,6,32,1405986,110811456,0,0
get-pdf,default,7,32,1405986,119933584,0,0
get-pdf,default,8,32,1405986,114023552,0,0
get-pdf,default,9,32,1405986,117869800,0,0
get-pdf,default,10,32,1405986,113923828,0,0
get-pdf,default,11,32,1405986,107351117,0,0
get-pdf,default,12,32,1405986,116092291,0,0
get-pdf,default,13,32,1405986,113359142,0,0
get-pdf,default,14,32,1405986,113116160,0,0
get-pdf,default,15,32,1405986,116658562,0,0
get-pdf,default,16,32,1405986,112497694,0,0
get-pdf,default,17,32,1405986,127285017,0,0
get-pdf,default,18,32,1405986,90713547,0,0
get-pdf,default,19,32,1405986,116313194,0,0
get-pdf,default,20,32,1405986,116019997,0,0
get-pdf,default,21,32,1405986,133075333,0,0
get-pdf,default,22,32,1405986,106633961,0,0
get-pdf,default,23,32,1405986,108362186,0,0
get-pdf,default,24,32,1405986,113966449,0,0
get-pdf,default,25,32,1405986,123771089,0,0
get-pdf,default,26,32,1405986,117807042,0,0
get-pdf,default,27,32,1405986,108122009,0,0
get-pdf,default,28,32,1405986,127419539,0,0
get-pdf,default,29,32,1405986,124106581,0,0
get-pdf,default,30,32,1405986,104747755,0,0
get-pdf,default,31,32,1405986,110954895,0,0
get-pdf,default,32,32,1405986,112287280,0,0
get-pdf,default,33,32,1405986,102578010,0,0
get-pdf,default,34,32,1405986,116062065,0,0
get-pdf,default,35,32,1405986,117087180,0,0
get-pdf,default,36,32,1405986,133654065,0,0
get-pdf,default,37,32,1405986,111744111,0,0
get-pdf,default,38,32,1405986,107391837,0,0
get-pdf,default,39,32,1405986,120464742,0,0
get-pdf,default,40,32,1405986,122864310,0,0
get-pdf,default,41,32,1405986,123140245,0,0
get-pdf,default,42,32,1405986,113342474,0,0
get-pdf,default,43,32,1405986,108702065,0,0
get-pdf,default,44,32,1405986,99742947,0,0
get-pdf,default,45,32,1405986,117874467,0,0
get-pdf,default,46,32,1405986,179768223,0,0
get-pdf,default,47,32,1405986,122763543,0,0
get-pdf,default,48,32,1405986,121485871,0,0
get-pdf,default,49,32,1405986,114135514,0,0
get-pdf,default,50,32,1405986,89803316,0,0
compile,small-update,1,81,480,313407737,0.038736,0.104329
compile,small-update,2,81,480,328363625,0.038978,0.116625
compile,small-update,3,81,480,264928898,0.032207,0.113107
compile,small-update,4,81,480,259192696,0.035195,0.108856
compile,small-update,5,81,478,273477243,0.032547,0.1053
compile,small-update,6,81,479,247373605,0.03511,0.111516
compile,small-update,7,81,480,269179636,0.041832,0.111111
compile,small-update,8,81,480,200488395,0.033965,0.105119
compile,small-update,9,81,480,329876378,0.035669,0.161157
compile,small-update,10,81,480,256259204,0.034231,0.108688
compile,small-update,11,81,480,308241621,0.034848,0.121458
compile,small-update,12,81,479,298758337,0.03886,0.112391
compile,small-update,13,81,480,233148346,0.032006,0.108971
compile,small-update,14,81,479,290833247,0.03667,0.114863
compile,small-update,15,81,480,263492931,0.039756,0.109127
compile,small-update,16,81,480,327063827,0.033652,0.109844
compile,small-update,17,81,480,215750018,0.033756,0.125391
compile,small-update,18,81,480,283183097,0.033643,0.107266
compile,small-update,19,81,480,235965958,0.036326,0.107676
compile,small-update,20,81,480,354520668,0.036727,0.111971
compile,small-update,21,81,480,259483794,0.030095,0.106242
compile,small-update,22,81,480,265198194,0.035085,0.105712
compile,small-update,23,81,480,189108217,0.031538,0.105311
compile,small-update,24,81,480,238845879,0.037582,0.105008
compile,small-update,25,81,480,287961847,0.057212,0.114118
compile,small-update,26,81,480,249934472,0.048887,0.108211
compile,small-update,27,81,480,301494415,0.033272,0.106585
compile,small-update,28,81,479,326926875,0.035489,0.10578
compile,small-update,29,81,480,271238188,0.057104,0.104767
compile,small-update,30,81,480,334647304,0.031835,0.105554
compile,small-update,31,81,480,247851647,0.040593,0.105488
compile,small-update,32,81,480,271565360,0.065086,0.104484
compile,small-update,33,81,480,253246467,0.045372,0.106467
compile,small-update,34,81,480,299810715,0.068645,0.105677
compile,small-update,35,81,480,251322885,0.039387,0.104962
compile,small-update,36,81,480,318795637,0.038744,0.113688
compile,small-update,37,81,480,317538817,0.043372,0.115707
