type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,44984,17292843476,0.470716,16.604
compile,full,2,80,44984,17291556413,0.453794,16.5581
compile,full,3,80,44985,17302660386,0.462234,16.7049
compile,full,4,80,44985,17643206860,0.465668,16.9861
compile,full,5,80,44985,17854121811,0.439521,17.118
compile,full,6,80,44985,17341466423,0.461539,16.7288
compile,full,7,80,44985,17322060726,0.453201,16.6062
compile,full,8,80,44985,17235475267,0.466194,16.5654
compile,full,9,80,44985,17382151112,0.420643,16.7599
compile,full,10,80,44985,17268768118,0.449906,16.6613
compile,full,11,80,44985,17182585804,0.479604,16.5229
compile,full,12,80,44985,17171345178,0.442995,16.5261
compile,full,13,80,44985,17442706854,0.443919,16.853
compile,full,14,80,44985,17496380940,0.516529,16.7488
compile,full,15,80,44985,17629773947,0.465611,16.9492
compile,full,16,80,44985,17468071881,0.467632,16.6589
compile,full,17,80,44985,17174799348,0.462598,16.4703
compile,full,18,80,44985,17117428450,0.431952,16.5057
compile,full,19,80,44985,17435343655,0.510419,16.7342
compile,full,20,80,44985,17174166839,0.456959,16.4903
compile,full,21,80,44985,17125488605,0.454557,16.4587
compile,full,22,80,44985,17344088062,0.464337,16.685
compile,full,23,80,44985,18162614214,0.503937,17.416
compile,full,24,80,44984,17719035455,0.492204,17.0162
compile,full,25,80,44985,18271226605,0.469178,17.607
compile,full,26,80,44984,17356525969,0.476342,16.6283
compile,full,27,80,44985,17370796324,0.454706,16.6581
compile,full,28,80,44985,17388290595,0.543644,16.6232
compile,full,29,80,44984,17339175331,0.46833,16.6673
compile,full,30,80,44985,17407826317,0.446484,16.7742
compile,full,31,80,44985,17328226114,0.451436,16.5949
compile,full,32,80,44985,17479298137,0.464687,16.8131
compile,full,33,80,44985,17260548430,0.466448,16.5403
compile,full,34,80,44984,17231429964,0.43989,16.6143
compile,full,35,80,44984,18441675861,0.562453,17.6326
compile,full,36,80,44985,17473945470,0.456657,16.7987
compile,full,37,80,44985,17294568108,0.459935,16.6239
compile,full,38,80,44985,17389297369,0.463253,16.7126
compile,full,39,80,44985,17440792882,0.469908,16.74
compile,full,40,80,44985,17391541990,0.438492,16.7098
compile,full,41,80,44985,18275089149,0.438108,17.6111
compile,full,42,80,44985,17314969396,0.444375,16.6815
compile,full,43,80,44985,17359612327,0.466954,16.666
compile,full,44,80,44985,17330169212,0.440454,16.6612
compile,full,45,80,44985,17816998918,0.566793,17.0544
compile,full,46,80,44985,17239757104,0.432596,16.5945
compile,full,47,80,44983,17526120254,0.457206,16.8564
compile,full,48,80,44985,17951735174,0.428905,17.3262
compile,full,49,80,44985,17547426647,0.463952,16.8256
compile,full,50,80,44985,17354837046,0.461003,16.5915
get-pdf,default,1,32,1405986,169672203,0,0
get-pdf,default,2,32,1405986,126877680,0,0
get-pdf,default,3,32,1405986,140067560,0,0
get-pdf,default,4,32,1405986,121014140,0,0
get-pdf,default,5,32,1405986,133859702,0,0
get-pdf,default,6,32,1405986,144237054,0,0
get-pdf,default,7,32,1405986,128553625,0,0
get-pdf,default,8,32,1405986,153813203,0,0
get-pdf,default,9,32,1405986,150938637,0,0
get-pdf,default,10,32,1405986,143299344,0,0
get-pdf,default,11,32,1405986,124139706,0,0
get-pdf,default,12,32,1405986,142362324,0,0
get-pdf,default,13,32,1405986,127929165,0,0
get-pdf,default,14,32,1405986,141325245,0,0
get-pdf,default,15,32,1405986,148793059,0,0
get-pdf,default,16,32,1405986,193244464,0,0
get-pdf,default,17,32,1405986,155889693,0,0
get-pdf,default,18,32,1405986,133029144,0,0
get-pdf,default,19,32,1405986,150151421,0,0
get-pdf,default,20,32,1405986,158556734,0,0
get-pdf,default,21,32,1405986,131422205,0,0
get-pdf,default,22,32,1405986,152043406,0,0
get-pdf,default,23,32,1405986,137970679,0,0
get-pdf,default,24,32,1405986,137737524,0,0
get-pdf,default,25,32,1405986,152760977,0,0
get-pdf,default,26,32,1405986,135170990,0,0
get-pdf,default,27,32,1405986,140257989,0,0
get-pdf,default,28,32,1405986,144744490,0,0
get-pdf,default,29,32,1405986,117998620,0,0
get-pdf,default,30,32,1405986,140107755,0,0
get-pdf,default,31,32,1405986,139862892,0,0
get-pdf,default,32,32,1405986,144183609,0,0
get-pdf,default,33,32,1405986,146416469,0,0
get-pdf,default,34,32,1405986,141284035,0,0
get-pdf,default,35,32,1405986,127980784,0,0
get-pdf,default,36,32,1405986,154697046,0,0
get-pdf,default,37,32,1405986,143725361,0,0
get-pdf,default,38,32,1405986,119399723,0,0
get-pdf,default,39,32,1405986,140548522,0,0
get-pdf,default,40,32,1405986,140899742,0,0
get-pdf,default,41,32,1405986,170385722,0,0
get-pdf,default,42,32,1405986,139255622,0,0
get-pdf,default,43,32,1405986,154492424,0,0
get-pdf,default,44,32,1405986,142853902,0,0
get-pdf,default,45,32,1405986,103856040,0,0
get-pdf,default,46,32,1405986,149013624,0,0
get-pdf,default,47,32,1405986,157729538,0,0
get-pdf,default,48,32,1405986,106035576,0,0
get-pdf,default,49,32,1405986,136103336,0,0
get-pdf,default,50,32,1405986,160019717,0,0
compile,small-update,1,81,479,698579345,0.03576,0.432846
compile,small-update,2,81,480,587085325,0.034938,0.430157
compile,small-update,3,81,480,636914880,0.037258,0.442295
compile,small-update,4,81,480,592879211,0.031264,0.448998
compile,small-update,5,81,480,658955154,0.038464,0.441335
compile,small-update,6,81,480,587008854,0.037721,0.440007
compile,small-update,7,81,480,588892601,0.036376,0.401512
compile,small-update,8,81,480,672308729,0.035471,0.432848
compile,small-update,9,81,480,612492866,0.037661,0.446417
compile,small-update,10,81,480,660884472,0.036132,0.440327
compile,small-update,11,81,480,625430065,0.034283,0.443125
compile,small-update,12,81,480,648398876,0.039016,0.440348
compile,small-update,13,81,480,665940796,0.033604,0.434251
compile,small-update,14,81,480,627480070,0.035893,0.437517
compile,small-update,15,81,480,606037025,0.030657,0.440139
compile,small-update,16,81,480,610168270,0.033928,0.436295
compile,small-update,17,81,480,616534994,0.050666,0.428645
compile,small-update,18,81,480,609869170,0.032341,0.438507
compile,small-update,19,81,480,560296878,0.037374,0.430779
compile,small-update,20,81,479,610570183,0.033112,0.43721
compile,small-update,21,81,479,602732884,0.03519,0.433929
compile,small-update,22,81,480,605652490,0.030678,0.437889
compile,small-update,23,81,479,605817674,0.03676,0.440194
compile,small-update,24,81,480,676118252,0.034943,0.434662
compile,small-update,25,81,480,640073616,0.032525,0.429378
compile,small-update,26,81,480,610380819,0.035015,0.432914
compile,small-update,27,81,480,638682097,0.038317,0.428845
compile,small-update,28,81,480,633657262,0.034076,0.436087
compile,small-update,29,81,479,621655918,0.038861,0.44123
compile,small-update,30,81,480,621219565,0.034556,0.433321
compile,small-update,31,81,480,633832564,0.032111,0.434054
compile,small-update,32,81,480,688245590,0.034249,0.440244
compile,small-update,33,81,480,611034110,0.034835,0.440644
compile,small-update,34,81,480,589503306,0.078596,0.432226
compile,small-update,35,81,480,606853986,0.032121,0.438011
compile,small-update,36,81,480,598529290,0.032104,0.436258
compile,small-update,37,81,480,618320781,0.032912,0.439925
compile,small-update,38,81,480,635001730,0.038072,0.440145
compile,small-update,39,81,480,583052416,0.031242,0.436695
compile,small-update,40,81,480,607879284,0.049173,0.435762
compile,small-update,41,81,479,611073929,0.038765,0.44067
compile,small-update,42,81,480,622434621,0.033425,0.434047
compile,small-update,43,81,479,551614022,0.031279,0.44028
compile,small-update,44,81,480,573038731,0.033927,0.434629
compile,small-update,45,81,480,610766056,0.030869,0.433245
compile,small-update,46,81,480,634922875,0.034609,0.425579
compile,small-update,47,81,480,623149462,0.031504,0.432741
compile,small-update,48,81,480,587975886,0.033616,0.439547
compile,small-update,49,81,480,637393953,0.032334,0.429578
compile,small-update,50,81,480,624680281,0.041805,0.440429
compile,large-update,1,80,3598,1667573742,0.125827,1.52661
compile,large-update,2,80,3598,1627846753,0.129315,1.48195
compile,large-update,3,80,3598,1650278774,0.131062,1.50497
compile,large-update,4,80,3597,1644147889,0.127618,1.49886
compile,large-update,5,80,3598,1673689221,0.133336,1.52461
compile,large-update,6,80,3598,1640713000,0.123597,1.50292
compile,large-update,7,80,3598,1640210655,0.123383,1.50234
compile,large-update,8,80,3597,1711650458,0.190955,1.50113
compile,large-update,9,80,3598,1651510586,0.128489,1.5084
compile,large-update,10,80,3596,1659674370,0.128667,1.5163
compile,large-update,11,80,3597,1670988474,0.13136,1.52328
compile,large-update,12,80,3597,1666582847,0.12897,1.52233
compile,large-update,13,80,3598,1657321433,0.118814,1.52397
compile,large-update,14,80,3596,1686789506,0.15341,1.50795
compile,large-update,15,80,3598,1640080276,0.130914,1.49178
compile,large-update,16,80,3598,1619885040,0.120091,1.48772
compile,large-update,17,80,3598,1629119805,0.129004,1.48579
compile,large-update,18,80,3598,1633929109,0.130851,1.48793
compile,large-update,19,80,3596,1650025396,0.130851,1.5045
compile,large-update,20,80,3598,1668063747,0.138335,1.51652
compile,large-update,21,80,3598,1643304973,0.130008,1.49823
compile,large-update,22,80,3597,1670729245,0.136195,1.52065
compile,large-update,23,80,3598,1623659393,0.135796,1.47376
compile,large-update,24,80,3598,1697229633,0.185333,1.49059
compile,large-update,25,80,3598,1650364552,0.133306,1.48641
compile,large-update,26,80,3598,1644294360,0.124283,1.50182
compile,large-update,27,80,3598,1628117555,0.129635,1.48447
compile,large-update,28,80,3596,1621988473,0.127842,1.4807
compile,large-update,29,80,3598,1624585325,0.142754,1.46839
compile,large-update,30,80,3597,1624613616,0.122697,1.48702
