type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,58,25931723
update-file,secs/acks.tex,2,781,58,48900118
update-file,secs/acks.tex,3,781,58,26171359
update-file,secs/acks.tex,4,781,58,23078396
update-file,secs/acks.tex,5,781,58,51373867
update-file,secs/acks.tex,6,781,58,55620555
update-file,secs/acks.tex,7,781,58,22914718
update-file,secs/acks.tex,8,781,58,28201535
update-file,secs/acks.tex,9,781,58,24173265
update-file,secs/acks.tex,10,781,58,24756043
update-file,secs/acks.tex,11,781,58,36988005
update-file,secs/acks.tex,12,781,58,24532451
update-file,secs/acks.tex,13,781,58,40061335
update-file,secs/acks.tex,14,781,58,25433338
update-file,secs/acks.tex,15,781,58,25090376
update-file,secs/acks.tex,16,781,58,30179200
update-file,secs/acks.tex,17,781,58,23721180
update-file,secs/acks.tex,18,781,58,58493272
update-file,secs/acks.tex,19,781,58,25878027
update-file,secs/acks.tex,20,781,58,23859767
update-file,secs/acks.tex,21,781,58,28687823
update-file,secs/acks.tex,22,781,58,33597947
update-file,secs/acks.tex,23,781,58,23779008
update-file,secs/acks.tex,24,781,58,28806162
update-file,secs/acks.tex,25,781,58,35477540
update-file,secs/acks.tex,26,781,58,21118280
update-file,secs/acks.tex,27,781,58,48056115
update-file,secs/acks.tex,28,781,58,33203608
update-file,secs/acks.tex,29,781,58,43428300
update-file,secs/acks.tex,30,781,58,49058453
update-file,secs/acks.tex,31,781,58,26084277
update-file,secs/acks.tex,32,781,58,48160821
update-file,secs/acks.tex,33,781,58,23954761
update-file,secs/acks.tex,34,781,58,23501718
update-file,secs/acks.tex,35,781,58,22913287
update-file,secs/acks.tex,36,781,58,29470525
update-file,secs/acks.tex,37,781,58,25007086
update-file,secs/acks.tex,38,781,58,42529273
update-file,secs/acks.tex,39,781,58,26845352
update-file,secs/acks.tex,40,781,58,23904804
update-file,secs/acks.tex,41,781,58,35870705
update-file,secs/acks.tex,42,781,58,24288606
update-file,secs/acks.tex,43,781,58,23603323
update-file,secs/acks.tex,44,781,58,40453629
update-file,secs/acks.tex,45,781,58,27596440
update-file,secs/acks.tex,46,781,58,25940161
update-file,secs/acks.tex,47,781,58,24622210
update-file,secs/acks.tex,48,781,58,49051176
update-file,secs/acks.tex,49,781,58,24370111
update-file,secs/acks.tex,50,781,58,46348072
update-file,secs/multi.tex,1,1217,60,36417861
update-file,secs/multi.tex,2,1217,60,46286247
update-file,secs/multi.tex,3,1217,60,25892613
update-file,secs/multi.tex,4,1217,60,35383028
update-file,secs/multi.tex,5,1217,60,23719132
update-file,secs/multi.tex,6,1217,60,25433820
update-file,secs/multi.tex,7,1217,60,28155865
update-file,secs/multi.tex,8,1217,60,33325963
update-file,secs/multi.tex,9,1217,60,85090041
update-file,secs/multi.tex,10,1217,60,24763021
update-file,secs/multi.tex,11,1217,60,24746172
update-file,secs/multi.tex,12,1217,60,47395005
update-file,secs/multi.tex,13,1217,60,28372155
update-file,secs/multi.tex,14,1217,60,24786731
update-file,secs/multi.tex,15,1217,60,23874065
update-file,secs/multi.tex,16,1217,60,51283444
update-file,secs/multi.tex,17,1217,60,22894250
update-file,secs/multi.tex,18,1217,60,28497522
update-file,secs/multi.tex,19,1217,60,41324571
update-file,secs/multi.tex,20,1217,60,21758015
update-file,secs/multi.tex,21,1217,60,113396990
update-file,secs/multi.tex,22,1217,60,22047997
update-file,secs/multi.tex,23,1217,60,25242139
update-file,secs/multi.tex,24,1217,60,27621860
update-file,secs/multi.tex,25,1217,60,20364156
update-file,secs/multi.tex,26,1217,60,46705152
update-file,secs/multi.tex,27,1217,60,24913229
update-file,secs/multi.tex,28,1217,60,23620762
update-file,secs/multi.tex,29,1217,60,22153960
update-file,secs/multi.tex,30,1217,60,23194685
update-file,secs/multi.tex,31,1217,60,22232926
update-file,secs/multi.tex,32,1217,60,51740066
update-file,secs/multi.tex,33,1217,60,25779516
update-file,secs/multi.tex,34,1217,60,50903490
update-file,secs/multi.tex,35,1217,60,25800723
update-file,secs/multi.tex,36,1217,60,25188030
update-file,secs/multi.tex,37,1217,60,28210679
update-file,secs/multi.tex,38,1217,60,52978687
update-file,secs/multi.tex,39,1217,60,56423343
update-file,secs/multi.tex,40,1217,60,29061481
update-file,secs/multi.tex,41,1217,60,18680550
update-file,secs/multi.tex,42,1217,60,38149462
update-file,secs/multi.tex,43,1217,60,38491462
update-file,secs/multi.tex,44,1217,60,21176508
update-file,secs/multi.tex,45,1217,60,39880923
update-file,secs/multi.tex,46,1217,60,24071468
update-file,secs/multi.tex,47,1217,60,47905347
update-file,secs/multi.tex,48,1217,60,24052135
update-file,secs/multi.tex,49,1217,60,109546841
update-file,secs/multi.tex,50,1217,60,27279966
update-file,secs/core.tex,1,12157,58,27373065
update-file,secs/core.tex,2,12157,58,48038559
update-file,secs/core.tex,3,12157,58,22523253
update-file,secs/core.tex,4,12157,58,58951913
update-file,secs/core.tex,5,12157,58,22583105
update-file,secs/core.tex,6,12157,58,25101723
update-file,secs/core.tex,7,12157,58,61484631
update-file,secs/core.tex,8,12157,58,38277037
update-file,secs/core.tex,9,12157,58,54562678
update-file,secs/core.tex,10,12157,58,59488942
update-file,secs/core.tex,11,12157,58,44039164
update-file,secs/core.tex,12,12157,58,53077604
update-file,secs/core.tex,13,12157,58,24253494
update-file,secs/core.tex,14,12157,58,24375286
update-file,secs/core.tex,15,12157,58,61372860
update-file,secs/core.tex,16,12157,58,27862844
update-file,secs/core.tex,17,12157,58,57299259
update-file,secs/core.tex,18,12157,58,87135502
update-file,secs/core.tex,19,12157,58,23791465
update-file,secs/core.tex,20,12157,58,42224831
update-file,secs/core.tex,21,12157,58,26744489
update-file,secs/core.tex,22,12157,58,72929837
update-file,secs/core.tex,23,12157,58,67006432
update-file,secs/core.tex,24,12157,58,35905062
update-file,secs/core.tex,25,12157,58,66361758
update-file,secs/core.tex,26,12157,58,36222271
update-file,secs/core.tex,27,12157,58,61570843
update-file,secs/core.tex,28,12157,58,51000648
update-file,secs/core.tex,29,12157,58,53917045
update-file,secs/core.tex,30,12157,58,37052249
update-file,secs/core.tex,31,12157,58,59786835
update-file,secs/core.tex,32,12157,58,27915236
update-file,secs/core.tex,33,12157,58,25886411
update-file,secs/core.tex,34,12157,58,41030975
update-file,secs/core.tex,35,12157,58,86620539
update-file,secs/core.tex,36,12157,58,47891073
update-file,secs/core.tex,37,12157,58,33511463
update-file,secs/core.tex,38,12157,58,55970524
update-file,secs/core.tex,39,12157,58,29105427
update-file,secs/core.tex,40,12157,58,52642744
update-file,secs/core.tex,41,12157,58,104166164
update-file,secs/core.tex,42,12157,58,132897000
update-file,secs/core.tex,43,12157,58,80652498
update-file,secs/core.tex,44,12157,58,46486439
update-file,secs/core.tex,45,12157,58,69663663
update-file,secs/core.tex,46,12157,58,55535988
update-file,secs/core.tex,47,12157,58,24827300
update-file,secs/core.tex,48,12157,58,39471729
update-file,secs/core.tex,49,12157,58,32545282
update-file,secs/core.tex,50,12157,58,67475342
update-file,sampleteaser.pdf,1,585430,69,138006271
update-file,sampleteaser.pdf,2,585430,69,173854932
update-file,sampleteaser.pdf,3,585430,69,107902436
update-file,sampleteaser.pdf,4,585430,69,124079637
update-file,sampleteaser.pdf,5,585430,69,43422985
update-file,sampleteaser.pdf,6,585430,69,122778555
update-file,sampleteaser.pdf,7,585430,69,41264005
update-file,sampleteaser.pdf,8,585430,69,107642728
update-file,sampleteaser.pdf,9,585430,69,123366423
update-file,sampleteaser.pdf,10,585430,69,233602611
update-file,sampleteaser.pdf,11,585430,69,104467443
update-file,sampleteaser.pdf,12,585430,69,110670420
update-file,sampleteaser.pdf,13,585430,69,140859741
update-file,sampleteaser.pdf,14,585430,69,148651636
update-file,sampleteaser.pdf,15,585430,69,91863574
update-file,sampleteaser.pdf,16,585430,69,137138761
update-file,sampleteaser.pdf,17,585430,69,120375848
update-file,sampleteaser.pdf,18,585430,69,87493786
update-file,sampleteaser.pdf,19,585430,69,117008270
update-file,sampleteaser.pdf,20,585430,69,137335090
update-file,sampleteaser.pdf,21,585430,69,184093736
update-file,sampleteaser.pdf,22,585430,69,88652158
update-file,sampleteaser.pdf,23,585430,69,90730424
update-file,sampleteaser.pdf,24,585430,69,46723024
update-file,sampleteaser.pdf,25,585430,69,97897427
update-file,sampleteaser.pdf,26,585430,69,148999225
update-file,sampleteaser.pdf,27,585430,69,95793569
update-file,sampleteaser.pdf,28,585430,69,74593639
update-file,sampleteaser.pdf,29,585430,69,93031645
update-file,sampleteaser.pdf,30,585430,69,86215954
update-file,sampleteaser.pdf,31,585430,69,92990318
update-file,sampleteaser.pdf,32,585430,69,175707452
update-file,sampleteaser.pdf,33,585430,69,79631075
update-file,sampleteaser.pdf,34,585430,69,67915611
update-file,sampleteaser.pdf,35,585430,69,133303738
update-file,sampleteaser.pdf,36,585430,69,113436296
update-file,sampleteaser.pdf,37,585430,69,110866471
update-file,sampleteaser.pdf,38,585430,69,100662107
update-file,sampleteaser.pdf,39,585430,69,53020770
update-file,sampleteaser.pdf,40,585430,69,102857686
update-file,sampleteaser.pdf,41,585430,69,98925456
update-file,sampleteaser.pdf,42,585430,69,93376365
update-file,sampleteaser.pdf,43,585430,69,88551495
update-file,sampleteaser.pdf,44,585430,69,208072868
update-file,sampleteaser.pdf,45,585430,69,108960339
update-file,sampleteaser.pdf,46,585430,69,280125339
update-file,sampleteaser.pdf,47,585430,69,178591239
update-file,sampleteaser.pdf,48,585430,69,86064129
update-file,sampleteaser.pdf,49,585430,69,64328211
update-file,sampleteaser.pdf,50,585430,69,102963737
get-file,secs/acks.tex,1,62,767,1232185
get-file,secs/acks.tex,2,62,767,1274077
get-file,secs/acks.tex,3,62,767,1244582
get-file,secs/acks.tex,4,62,767,1234192
get-file,secs/acks.tex,5,62,767,1167615
get-file,secs/acks.tex,6,62,767,1259839
get-file,secs/acks.tex,7,62,767,1168243
get-file,secs/acks.tex,8,62,767,1167999
get-file,secs/acks.tex,9,62,767,1172083
get-file,secs/acks.tex,10,62,767,1174349
get-file,secs/acks.tex,11,62,767,1137252
get-file,secs/acks.tex,12,62,767,1186956
get-file,secs/acks.tex,13,62,767,1143886
get-file,secs/acks.tex,14,62,767,1177675
get-file,secs/acks.tex,15,62,767,1161999
get-file,secs/acks.tex,16,62,767,1127062
get-file,secs/acks.tex,17,62,767,1155913
get-file,secs/acks.tex,18,62,767,1195432
get-file,secs/acks.tex,19,62,767,1236298
get-file,secs/acks.tex,20,62,767,1166595
get-file,secs/acks.tex,21,62,767,1174452
get-file,secs/acks.tex,22,62,767,1225768
get-file,secs/acks.tex,23,62,767,1184406
get-file,secs/acks.tex,24,62,767,1290974
get-file,secs/acks.tex,25,62,767,1255259
get-file,secs/acks.tex,26,62,767,1221590
get-file,secs/acks.tex,27,62,767,1216503
get-file,secs/acks.tex,28,62,767,1202597
get-file,secs/acks.tex,29,62,767,1174361
get-file,secs/acks.tex,30,62,767,1164676
get-file,secs/acks.tex,31,62,767,1183561
get-file,secs/acks.tex,32,62,767,1157415
get-file,secs/acks.tex,33,62,767,1150169
get-file,secs/acks.tex,34,62,767,1137288
get-file,secs/acks.tex,35,62,767,1198292
get-file,secs/acks.tex,36,62,767,1160457
get-file,secs/acks.tex,37,62,767,1171066
get-file,secs/acks.tex,38,62,767,1180299
get-file,secs/acks.tex,39,62,767,1159570
get-file,secs/acks.tex,40,62,767,1157369
get-file,secs/acks.tex,41,62,767,1245643
get-file,secs/acks.tex,42,62,767,1165255
get-file,secs/acks.tex,43,62,767,1158815
get-file,secs/acks.tex,44,62,767,1236339
get-file,secs/acks.tex,45,62,767,1230521
get-file,secs/acks.tex,46,62,767,1217006
get-file,secs/acks.tex,47,62,767,1232930
get-file,secs/acks.tex,48,62,767,1232301
get-file,secs/acks.tex,49,62,767,1054904
get-file,secs/acks.tex,50,62,767,1024871
get-file,secs/multi.tex,1,63,1203,1197969
get-file,secs/multi.tex,2,63,1203,1066863
get-file,secs/multi.tex,3,63,1203,1025555
get-file,secs/multi.tex,4,63,1203,1039026
get-file,secs/multi.tex,5,63,1203,1055932
get-file,secs/multi.tex,6,63,1203,1035708
get-file,secs/multi.tex,7,63,1203,1067448
get-file,secs/multi.tex,8,63,1203,1092001
get-file,secs/multi.tex,9,63,1203,1043924
get-file,secs/multi.tex,10,63,1203,1043012
get-file,secs/multi.tex,11,63,1203,1089775
get-file,secs/multi.tex,12,63,1203,1112395
get-file,secs/multi.tex,13,63,1203,1030356
get-file,secs/multi.tex,14,63,1203,1031937
get-file,secs/multi.tex,15,63,1203,1076025
get-file,secs/multi.tex,16,63,1203,1092871
get-file,secs/multi.tex,17,63,1203,1132632
get-file,secs/multi.tex,18,63,1203,1111426
get-file,secs/multi.tex,19,63,1203,1094799
get-file,secs/multi.tex,20,63,1203,1082442
get-file,secs/multi.tex,21,63,1203,1025937
get-file,secs/multi.tex,22,63,1203,1053041
get-file,secs/multi.tex,23,63,1203,1023769
get-file,secs/multi.tex,24,63,1203,1107964
get-file,secs/multi.tex,25,63,1203,1103188
get-file,secs/multi.tex,26,63,1203,1058809
get-file,secs/multi.tex,27,63,1203,1052435
get-file,secs/multi.tex,28,63,1203,1040940
get-file,secs/multi.tex,29,63,1203,1106046
get-file,secs/multi.tex,30,63,1203,1035074
get-file,secs/multi.tex,31,63,1203,1017435
get-file,secs/multi.tex,32,63,1203,1026438
get-file,secs/multi.tex,33,63,1203,1055105
get-file,secs/multi.tex,34,63,1203,1023795
get-file,secs/multi.tex,35,63,1203,1038065
get-file,secs/multi.tex,36,63,1203,1025815
get-file,secs/multi.tex,37,63,1203,1037343
get-file,secs/multi.tex,38,63,1203,1058119
get-file,secs/multi.tex,39,63,1203,1111773
get-file,secs/multi.tex,40,63,1203,1125256
get-file,secs/multi.tex,41,63,1203,1112922
get-file,secs/multi.tex,42,63,1203,1064628
get-file,secs/multi.tex,43,63,1203,1118667
get-file,secs/multi.tex,44,63,1203,1062492
get-file,secs/multi.tex,45,63,1203,1053624
get-file,secs/multi.tex,46,63,1203,1057767
get-file,secs/multi.tex,47,63,1203,1060370
get-file,secs/multi.tex,48,63,1203,1056354
get-file,secs/multi.tex,49,63,1203,1046434
get-file,secs/multi.tex,50,63,1203,1096786
get-file,secs/core.tex,1,62,12143,1236751
get-file,secs/core.tex,2,62,12143,1278191
get-file,secs/core.tex,3,62,12143,1240050
get-file,secs/core.tex,4,62,12143,1233733
get-file,secs/core.tex,5,62,12143,1249126
get-file,secs/core.tex,6,62,12143,1305171
get-file,secs/core.tex,7,62,12143,1178571
get-file,secs/core.tex,8,62,12143,1260026
get-file,secs/core.tex,9,62,12143,1249869
get-file,secs/core.tex,10,62,12143,1202324
get-file,secs/core.tex,11,62,12143,1190116
get-file,secs/core.tex,12,62,12143,1224613
get-file,secs/core.tex,13,62,12143,1269051
get-file,secs/core.tex,14,62,12143,1236876
get-file,secs/core.tex,15,62,12143,1259009
get-file,secs/core.tex,16,62,12143,1231875
get-file,secs/core.tex,17,62,12143,1240034
get-file,secs/core.tex,18,62,12143,1252210
get-file,secs/core.tex,19,62,12143,1232796
get-file,secs/core.tex,20,62,12143,1235619
get-file,secs/core.tex,21,62,12143,1274323
get-file,secs/core.tex,22,62,12143,1226122
get-file,secs/core.tex,23,62,12143,1185970
get-file,secs/core.tex,24,62,12143,1157072
get-file,secs/core.tex,25,62,12143,1184329
get-file,secs/core.tex,26,62,12143,1177167
get-file,secs/core.tex,27,62,12143,1213794
get-file,secs/core.tex,28,62,12143,1197993
get-file,secs/core.tex,29,62,12143,1192573
get-file,secs/core.tex,30,62,12143,1180334
get-file,secs/core.tex,31,62,12143,1216388
get-file,secs/core.tex,32,62,12143,1181011
get-file,secs/core.tex,33,62,12143,1189440
get-file,secs/core.tex,34,62,12143,1183508
get-file,secs/core.tex,35,62,12143,1211887
get-file,secs/core.tex,36,62,12143,1198534
get-file,secs/core.tex,37,62,12143,1194286
get-file,secs/core.tex,38,62,12143,1163139
get-file,secs/core.tex,39,62,12143,1161562
get-file,secs/core.tex,40,62,12143,1124814
get-file,secs/core.tex,41,62,12143,1160852
get-file,secs/core.tex,42,62,12143,1146511
get-file,secs/core.tex,43,62,12143,1131899
get-file,secs/core.tex,44,62,12143,1192624
get-file,secs/core.tex,45,62,12143,1205668
get-file,secs/core.tex,46,62,12143,1157404
get-file,secs/core.tex,47,62,12143,1235501
get-file,secs/core.tex,48,62,12143,1168331
get-file,secs/core.tex,49,62,12143,1145785
get-file,secs/core.tex,50,62,12143,1134883
get-file,sampleteaser.pdf,1,66,585416,5779316
get-file,sampleteaser.pdf,2,66,585416,5762484
get-file,sampleteaser.pdf,3,66,585416,5806464
get-file,sampleteaser.pdf,4,66,585416,5944532
get-file,sampleteaser.pdf,5,66,585416,5953279
get-file,sampleteaser.pdf,6,66,585416,5872406
get-file,sampleteaser.pdf,7,66,585416,5588003
get-file,sampleteaser.pdf,8,66,585416,5659520
get-file,sampleteaser.pdf,9,66,585416,5768939
get-file,sampleteaser.pdf,10,66,585416,5790376
get-file,sampleteaser.pdf,11,66,585416,5635639
get-file,sampleteaser.pdf,12,66,585416,5702782
get-file,sampleteaser.pdf,13,66,585416,5595729
get-file,sampleteaser.pdf,14,66,585416,5720438
get-file,sampleteaser.pdf,15,66,585416,5995598
get-file,sampleteaser.pdf,16,66,585416,5854336
get-file,sampleteaser.pdf,17,66,585416,5516250
get-file,sampleteaser.pdf,18,66,585416,5739731
get-file,sampleteaser.pdf,19,66,585416,5624674
get-file,sampleteaser.pdf,20,66,585416,5684387
get-file,sampleteaser.pdf,21,66,585416,5794992
get-file,sampleteaser.pdf,22,66,585416,5551720
get-file,sampleteaser.pdf,23,66,585416,5988706
get-file,sampleteaser.pdf,24,66,585416,5638886
get-file,sampleteaser.pdf,25,66,585416,5730918
get-file,sampleteaser.pdf,26,66,585416,5863108
get-file,sampleteaser.pdf,27,66,585416,5572118
get-file,sampleteaser.pdf,28,66,585416,5973729
get-file,sampleteaser.pdf,29,66,585416,5990953
get-file,sampleteaser.pdf,30,66,585416,5909909
get-file,sampleteaser.pdf,31,66,585416,5935983
get-file,sampleteaser.pdf,32,66,585416,5598054
get-file,sampleteaser.pdf,33,66,585416,5700372
get-file,sampleteaser.pdf,34,66,585416,5721548
get-file,sampleteaser.pdf,35,66,585416,5786144
get-file,sampleteaser.pdf,36,66,585416,6019243
get-file,sampleteaser.pdf,37,66,585416,5742405
get-file,sampleteaser.pdf,38,66,585416,5883369
get-file,sampleteaser.pdf,39,66,585416,5712295
get-file,sampleteaser.pdf,40,66,585416,5866217
get-file,sampleteaser.pdf,41,66,585416,5911335
