type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,42,66240145
update-file,secs/acks.tex,2,781,42,46895687
update-file,secs/acks.tex,3,781,42,41637805
update-file,secs/acks.tex,4,781,42,107005152
update-file,secs/acks.tex,5,781,42,77528037
update-file,secs/acks.tex,6,781,42,85562090
update-file,secs/acks.tex,7,781,42,56603966
update-file,secs/acks.tex,8,781,42,65631573
update-file,secs/acks.tex,9,781,42,55512233
update-file,secs/acks.tex,10,781,42,45157264
update-file,secs/acks.tex,11,781,42,49215427
update-file,secs/acks.tex,12,781,42,50017719
update-file,secs/acks.tex,13,781,42,44613315
update-file,secs/acks.tex,14,781,42,42095351
update-file,secs/acks.tex,15,781,42,60066003
update-file,secs/acks.tex,16,781,42,41619144
update-file,secs/acks.tex,17,781,42,46939022
update-file,secs/acks.tex,18,781,42,47452830
update-file,secs/acks.tex,19,781,42,45163614
update-file,secs/acks.tex,20,781,42,69279801
update-file,secs/acks.tex,21,781,42,38280973
update-file,secs/acks.tex,22,781,42,50894240
update-file,secs/acks.tex,23,781,42,136161118
update-file,secs/acks.tex,24,781,42,68778169
update-file,secs/acks.tex,25,781,42,54585747
update-file,secs/acks.tex,26,781,42,42893125
update-file,secs/acks.tex,27,781,42,42627907
update-file,secs/acks.tex,28,781,42,49858366
update-file,secs/acks.tex,29,781,42,41267295
update-file,secs/acks.tex,30,781,42,39420779
update-file,secs/acks.tex,31,781,42,55421763
update-file,secs/acks.tex,32,781,42,37223434
update-file,secs/acks.tex,33,781,42,43674912
update-file,secs/acks.tex,34,781,42,107358951
update-file,secs/acks.tex,35,781,42,41024936
update-file,secs/acks.tex,36,781,42,46655217
update-file,secs/acks.tex,37,781,42,39099120
update-file,secs/acks.tex,38,781,42,42222393
update-file,secs/acks.tex,39,781,42,42695285
update-file,secs/acks.tex,40,781,42,57402270
update-file,secs/acks.tex,41,781,42,60270212
update-file,secs/acks.tex,42,781,42,45504561
update-file,secs/acks.tex,43,781,42,39492468
update-file,secs/acks.tex,44,781,42,44645006
update-file,secs/acks.tex,45,781,42,42471657
update-file,secs/acks.tex,46,781,42,60317671
update-file,secs/acks.tex,47,781,42,41448091
update-file,secs/acks.tex,48,781,42,105170228
update-file,secs/acks.tex,49,781,42,40082678
update-file,secs/acks.tex,50,781,42,58092820
update-file,secs/multi.tex,1,1217,43,48350917
update-file,secs/multi.tex,2,1217,43,70093557
update-file,secs/multi.tex,3,1217,43,71824476
update-file,secs/multi.tex,4,1217,43,43569454
update-file,secs/multi.tex,5,1217,43,42313591
update-file,secs/multi.tex,6,1217,43,47172590
update-file,secs/multi.tex,7,1217,43,45293486
update-file,secs/multi.tex,8,1217,43,71628469
update-file,secs/multi.tex,9,1217,43,47248534
update-file,secs/multi.tex,10,1217,43,40188301
update-file,secs/multi.tex,11,1217,43,88813744
update-file,secs/multi.tex,12,1217,43,80869158
update-file,secs/multi.tex,13,1217,43,39683467
update-file,secs/multi.tex,14,1217,43,51837473
update-file,secs/multi.tex,15,1217,43,76352702
update-file,secs/multi.tex,16,1217,43,73130932
update-file,secs/multi.tex,17,1217,43,63368254
update-file,secs/multi.tex,18,1217,43,74209251
update-file,secs/multi.tex,19,1217,43,41137672
update-file,secs/multi.tex,20,1217,43,44729603
update-file,secs/multi.tex,21,1217,43,77587598
update-file,secs/multi.tex,22,1217,43,113326299
update-file,secs/multi.tex,23,1217,43,54345204
update-file,secs/multi.tex,24,1217,43,43283618
update-file,secs/multi.tex,25,1217,43,42890198
update-file,secs/multi.tex,26,1217,43,40408351
update-file,secs/multi.tex,27,1217,43,44278556
update-file,secs/multi.tex,28,1217,43,56455749
update-file,secs/multi.tex,29,1217,43,51381899
update-file,secs/multi.tex,30,1217,43,58285741
update-file,secs/multi.tex,31,1217,43,50128430
update-file,secs/multi.tex,32,1217,43,129084854
update-file,secs/multi.tex,33,1217,43,49855848
update-file,secs/multi.tex,34,1217,43,39831105
update-file,secs/multi.tex,35,1217,43,47792182
update-file,secs/multi.tex,36,1217,43,42733174
update-file,secs/multi.tex,37,1217,43,56329505
update-file,secs/multi.tex,38,1217,43,40877787
update-file,secs/multi.tex,39,1217,43,58060459
update-file,secs/multi.tex,40,1217,43,46887604
update-file,secs/multi.tex,41,1217,43,59822508
update-file,secs/multi.tex,42,1217,43,41320617
update-file,secs/multi.tex,43,1217,43,39043984
update-file,secs/multi.tex,44,1217,43,42633340
update-file,secs/multi.tex,45,1217,43,44646669
update-file,secs/multi.tex,46,1217,43,45168222
update-file,secs/multi.tex,47,1217,43,39371651
update-file,secs/multi.tex,48,1217,43,43317874
update-file,secs/multi.tex,49,1217,43,69496100
update-file,secs/multi.tex,50,1217,43,41210662
update-file,secs/core.tex,1,12157,42,47818952
update-file,secs/core.tex,2,12157,42,85655302
update-file,secs/core.tex,3,12157,42,39538461
update-file,secs/core.tex,4,12157,42,54889309
update-file,secs/core.tex,5,12157,42,58001551
update-file,secs/core.tex,6,12157,42,42917534
update-file,secs/core.tex,7,12157,42,35067398
update-file,secs/core.tex,8,12157,42,59408007
update-file,secs/core.tex,9,12157,42,83436212
update-file,secs/core.tex,10,12157,42,42127111
update-file,secs/core.tex,11,12157,42,113101363
update-file,secs/core.tex,12,12157,42,40540712
update-file,secs/core.tex,13,12157,42,37025865
update-file,secs/core.tex,14,12157,42,58168827
update-file,secs/core.tex,15,12157,42,53175582
update-file,secs/core.tex,16,12157,42,62448921
update-file,secs/core.tex,17,12157,42,39675336
update-file,secs/core.tex,18,12157,42,60661838
update-file,secs/core.tex,19,12157,42,62185992
update-file,secs/core.tex,20,12157,42,61296036
update-file,secs/core.tex,21,12157,42,38780519
update-file,secs/core.tex,22,12157,42,41584749
