type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,58,45771748
update-file,secs/acks.tex,2,781,58,38149538
update-file,secs/acks.tex,3,781,58,32421975
update-file,secs/acks.tex,4,781,58,25554877
update-file,secs/acks.tex,5,781,58,26303993
update-file,secs/acks.tex,6,781,58,193185558
update-file,secs/acks.tex,7,781,58,54015318
update-file,secs/acks.tex,8,781,58,41305422
update-file,secs/acks.tex,9,781,58,27538989
update-file,secs/acks.tex,10,781,58,31087826
update-file,secs/acks.tex,11,781,58,23675705
update-file,secs/acks.tex,12,781,58,29918941
update-file,secs/acks.tex,13,781,58,27205825
update-file,secs/acks.tex,14,781,58,70303052
update-file,secs/acks.tex,15,781,58,50703054
update-file,secs/acks.tex,16,781,58,28218589
update-file,secs/acks.tex,17,781,58,24986218
update-file,secs/acks.tex,18,781,58,65229419
update-file,secs/acks.tex,19,781,58,36862116
update-file,secs/acks.tex,20,781,58,24814589
update-file,secs/acks.tex,21,781,58,45289364
update-file,secs/acks.tex,22,781,58,43467743
update-file,secs/acks.tex,23,781,58,27370856
update-file,secs/acks.tex,24,781,58,39071475
update-file,secs/acks.tex,25,781,58,25648467
update-file,secs/acks.tex,26,781,58,28970759
update-file,secs/acks.tex,27,781,58,25248052
update-file,secs/acks.tex,28,781,58,55105900
update-file,secs/acks.tex,29,781,58,31153149
update-file,secs/acks.tex,30,781,58,45825854
update-file,secs/acks.tex,31,781,58,65825387
update-file,secs/acks.tex,32,781,58,30906656
update-file,secs/acks.tex,33,781,58,24378897
update-file,secs/acks.tex,34,781,58,26597376
update-file,secs/acks.tex,35,781,58,59899105
update-file,secs/acks.tex,36,781,58,159240679
update-file,secs/acks.tex,37,781,58,27276152
update-file,secs/acks.tex,38,781,58,30489806
update-file,secs/acks.tex,39,781,58,25492215
update-file,secs/acks.tex,40,781,58,26855406
update-file,secs/acks.tex,41,781,58,29880781
update-file,secs/acks.tex,42,781,58,26711462
update-file,secs/acks.tex,43,781,58,65641617
update-file,secs/acks.tex,44,781,58,28177137
update-file,secs/acks.tex,45,781,58,34806110
update-file,secs/acks.tex,46,781,58,36685213
update-file,secs/acks.tex,47,781,58,23698478
update-file,secs/acks.tex,48,781,58,29525981
update-file,secs/acks.tex,49,781,58,28729450
update-file,secs/acks.tex,50,781,58,47172052
update-file,secs/multi.tex,1,1217,60,32380996
update-file,secs/multi.tex,2,1217,60,27332966
update-file,secs/multi.tex,3,1217,60,24560894
update-file,secs/multi.tex,4,1217,60,25974308
update-file,secs/multi.tex,5,1217,60,42590341
update-file,secs/multi.tex,6,1217,60,28420029
update-file,secs/multi.tex,7,1217,60,33566875
update-file,secs/multi.tex,8,1217,60,27493128
update-file,secs/multi.tex,9,1217,60,27189796
update-file,secs/multi.tex,10,1217,60,26836132
update-file,secs/multi.tex,11,1217,60,51705060
update-file,secs/multi.tex,12,1217,60,50314274
update-file,secs/multi.tex,13,1217,60,39488443
update-file,secs/multi.tex,14,1217,60,54089976
update-file,secs/multi.tex,15,1217,60,51674129
update-file,secs/multi.tex,16,1217,60,25148923
update-file,secs/multi.tex,17,1217,60,22847286
update-file,secs/multi.tex,18,1217,60,35611429
update-file,secs/multi.tex,19,1217,60,59814046
update-file,secs/multi.tex,20,1217,60,27620765
update-file,secs/multi.tex,21,1217,60,25969750
update-file,secs/multi.tex,22,1217,60,26971684
update-file,secs/multi.tex,23,1217,60,46953899
update-file,secs/multi.tex,24,1217,60,31131010
update-file,secs/multi.tex,25,1217,60,24665486
update-file,secs/multi.tex,26,1217,60,28625401
update-file,secs/multi.tex,27,1217,60,32478000
update-file,secs/multi.tex,28,1217,60,26536824
update-file,secs/multi.tex,29,1217,60,26213775
update-file,secs/multi.tex,30,1217,60,23709884
update-file,secs/multi.tex,31,1217,60,27836701
update-file,secs/multi.tex,32,1217,60,46957414
update-file,secs/multi.tex,33,1217,60,29322033
update-file,secs/multi.tex,34,1217,60,44951438
update-file,secs/multi.tex,35,1217,60,63398736
update-file,secs/multi.tex,36,1217,60,28467790
update-file,secs/multi.tex,37,1217,60,28814982
update-file,secs/multi.tex,38,1217,60,51541283
update-file,secs/multi.tex,39,1217,60,26737054
update-file,secs/multi.tex,40,1217,60,26220173
update-file,secs/multi.tex,41,1217,60,66237510
update-file,secs/multi.tex,42,1217,60,67213758
update-file,secs/multi.tex,43,1217,60,24800662
update-file,secs/multi.tex,44,1217,60,28276686
update-file,secs/multi.tex,45,1217,60,44634548
update-file,secs/multi.tex,46,1217,60,30950275
update-file,secs/multi.tex,47,1217,60,25768695
update-file,secs/multi.tex,48,1217,60,47481270
update-file,secs/multi.tex,49,1217,60,205446567
update-file,secs/multi.tex,50,1217,60,27936070
update-file,secs/core.tex,1,12157,58,27504431
update-file,secs/core.tex,2,12157,58,37464755
update-file,secs/core.tex,3,12157,58,49581789
update-file,secs/core.tex,4,12157,58,47081023
update-file,secs/core.tex,5,12157,58,39712094
update-file,secs/core.tex,6,12157,58,66106782
update-file,secs/core.tex,7,12157,58,50791535
update-file,secs/core.tex,8,12157,58,91128166
update-file,secs/core.tex,9,12157,58,79313699
update-file,secs/core.tex,10,12157,58,28205314
update-file,secs/core.tex,11,12157,58,49124403
