type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,58,27552158
update-file,secs/acks.tex,2,781,58,32331336
update-file,secs/acks.tex,3,781,58,30477667
update-file,secs/acks.tex,4,781,58,57112442
update-file,secs/acks.tex,5,781,58,26638309
update-file,secs/acks.tex,6,781,58,57844958
update-file,secs/acks.tex,7,781,58,48766210
update-file,secs/acks.tex,8,781,58,31891772
update-file,secs/acks.tex,9,781,58,65455455
update-file,secs/acks.tex,10,781,58,27780198
update-file,secs/acks.tex,11,781,58,31650732
update-file,secs/acks.tex,12,781,58,37096110
update-file,secs/acks.tex,13,781,58,29323955
update-file,secs/acks.tex,14,781,58,51284622
update-file,secs/acks.tex,15,781,58,26249874
update-file,secs/acks.tex,16,781,58,37956023
update-file,secs/acks.tex,17,781,58,30088385
update-file,secs/acks.tex,18,781,58,23643765
update-file,secs/acks.tex,19,781,58,71417803
update-file,secs/acks.tex,20,781,58,30399262
update-file,secs/acks.tex,21,781,58,36245287
update-file,secs/acks.tex,22,781,58,26779327
update-file,secs/acks.tex,23,781,58,26028006
update-file,secs/acks.tex,24,781,58,60842519
update-file,secs/acks.tex,25,781,58,50789058
update-file,secs/acks.tex,26,781,58,44063142
update-file,secs/acks.tex,27,781,58,27748010
update-file,secs/acks.tex,28,781,58,26932676
update-file,secs/acks.tex,29,781,58,29630806
update-file,secs/acks.tex,30,781,58,28927107
update-file,secs/acks.tex,31,781,58,30227663
update-file,secs/acks.tex,32,781,58,29393982
update-file,secs/acks.tex,33,781,58,28471598
update-file,secs/acks.tex,34,781,58,60705360
update-file,secs/acks.tex,35,781,58,29400298
update-file,secs/acks.tex,36,781,58,30468974
update-file,secs/acks.tex,37,781,58,31521498
update-file,secs/acks.tex,38,781,58,50294419
update-file,secs/acks.tex,39,781,58,25121707
update-file,secs/acks.tex,40,781,58,28562548
update-file,secs/acks.tex,41,781,58,25009671
update-file,secs/acks.tex,42,781,58,48833702
update-file,secs/acks.tex,43,781,58,28656828
update-file,secs/acks.tex,44,781,58,28583532
update-file,secs/acks.tex,45,781,58,41540970
update-file,secs/acks.tex,46,781,58,31316803
update-file,secs/acks.tex,47,781,58,29687189
update-file,secs/acks.tex,48,781,58,25283032
update-file,secs/acks.tex,49,781,58,40141824
update-file,secs/acks.tex,50,781,58,28822981
update-file,secs/multi.tex,1,1217,60,56238638
update-file,secs/multi.tex,2,1217,60,112328230
update-file,secs/multi.tex,3,1217,60,27270802
update-file,secs/multi.tex,4,1217,60,29306172
update-file,secs/multi.tex,5,1217,60,36995057
update-file,secs/multi.tex,6,1217,60,26647398
update-file,secs/multi.tex,7,1217,60,26969557
update-file,secs/multi.tex,8,1217,60,30328117
update-file,secs/multi.tex,9,1217,60,88681401
update-file,secs/multi.tex,10,1217,60,81956528
update-file,secs/multi.tex,11,1217,60,27696183
update-file,secs/multi.tex,12,1217,60,25737709
update-file,secs/multi.tex,13,1217,60,29090553
update-file,secs/multi.tex,14,1217,60,29488882
update-file,secs/multi.tex,15,1217,60,50255772
update-file,secs/multi.tex,16,1217,60,26911237
update-file,secs/multi.tex,17,1217,60,32159161
update-file,secs/multi.tex,18,1217,60,34599530
update-file,secs/multi.tex,19,1217,60,33342632
update-file,secs/multi.tex,20,1217,60,31158774
update-file,secs/multi.tex,21,1217,60,29195742
update-file,secs/multi.tex,22,1217,60,25886087
update-file,secs/multi.tex,23,1217,60,25101939
update-file,secs/multi.tex,24,1217,60,28032208
update-file,secs/multi.tex,25,1217,60,27574426
update-file,secs/multi.tex,26,1217,60,30959306
update-file,secs/multi.tex,27,1217,60,53510418
update-file,secs/multi.tex,28,1217,60,56304842
update-file,secs/multi.tex,29,1217,60,38323590
update-file,secs/multi.tex,30,1217,60,138443338
update-file,secs/multi.tex,31,1217,60,32321910
update-file,secs/multi.tex,32,1217,60,39118204
update-file,secs/multi.tex,33,1217,60,30751965
update-file,secs/multi.tex,34,1217,60,46247392
update-file,secs/multi.tex,35,1217,60,29025410
update-file,secs/multi.tex,36,1217,60,36751556
update-file,secs/multi.tex,37,1217,60,28151509
update-file,secs/multi.tex,38,1217,60,43621206
update-file,secs/multi.tex,39,1217,60,25718911
update-file,secs/multi.tex,40,1217,60,59585781
update-file,secs/multi.tex,41,1217,60,27205344
update-file,secs/multi.tex,42,1217,60,31114614
update-file,secs/multi.tex,43,1217,60,40752178
update-file,secs/multi.tex,44,1217,60,54652545
update-file,secs/multi.tex,45,1217,60,36578647
update-file,secs/multi.tex,46,1217,60,63218428
update-file,secs/multi.tex,47,1217,60,25042918
update-file,secs/multi.tex,48,1217,60,27444808
update-file,secs/multi.tex,49,1217,60,320537307
update-file,secs/multi.tex,50,1217,60,21869070
update-file,secs/core.tex,1,12157,58,56143163
update-file,secs/core.tex,2,12157,58,47912067
update-file,secs/core.tex,3,12157,58,66021730
update-file,secs/core.tex,4,12157,58,45113071
update-file,secs/core.tex,5,12157,58,86229009
update-file,secs/core.tex,6,12157,58,31902190
update-file,secs/core.tex,7,12157,58,24730338
update-file,secs/core.tex,8,12157,58,48484489
update-file,secs/core.tex,9,12157,58,29210232
update-file,secs/core.tex,10,12157,58,28244593
update-file,secs/core.tex,11,12157,58,42613335
update-file,secs/core.tex,12,12157,58,51181878
update-file,secs/core.tex,13,12157,58,27775779
update-file,secs/core.tex,14,12157,58,153234038
update-file,secs/core.tex,15,12157,58,78839392
update-file,secs/core.tex,16,12157,58,36713343
update-file,secs/core.tex,17,12157,58,27846123
update-file,secs/core.tex,18,12157,58,67193422
update-file,secs/core.tex,19,12157,58,28329464
update-file,secs/core.tex,20,12157,58,36726676
update-file,secs/core.tex,21,12157,58,109663722
update-file,secs/core.tex,22,12157,58,52566282
update-file,secs/core.tex,23,12157,58,75286528
update-file,secs/core.tex,24,12157,58,49840655
update-file,secs/core.tex,25,12157,58,25805585
update-file,secs/core.tex,26,12157,58,110252327
update-file,secs/core.tex,27,12157,58,57575988
update-file,secs/core.tex,28,12157,58,54239094
update-file,secs/core.tex,29,12157,58,45313629
update-file,secs/core.tex,30,12157,58,46547818
update-file,secs/core.tex,31,12157,58,47850702
update-file,secs/core.tex,32,12157,58,42533378
update-file,secs/core.tex,33,12157,58,91445786
update-file,secs/core.tex,34,12157,58,60399508
update-file,secs/core.tex,35,12157,58,36795566
update-file,secs/core.tex,36,12157,58,27577415
update-file,secs/core.tex,37,12157,58,61121275
update-file,secs/core.tex,38,12157,58,47609240
update-file,secs/core.tex,39,12157,58,28957855
update-file,secs/core.tex,40,12157,58,33614738
update-file,secs/core.tex,41,12157,58,90641632
update-file,secs/core.tex,42,12157,58,29539761
update-file,secs/core.tex,43,12157,58,28862735
update-file,secs/core.tex,44,12157,58,39295595
update-file,secs/core.tex,45,12157,58,65295358
update-file,secs/core.tex,46,12157,58,72030564
update-file,secs/core.tex,47,12157,58,35589337
update-file,secs/core.tex,48,12157,58,43649704
update-file,secs/core.tex,49,12157,58,25611859
update-file,secs/core.tex,50,12157,58,44950586
update-file,sampleteaser.pdf,1,585430,69,154858909
update-file,sampleteaser.pdf,2,585430,69,176716016
update-file,sampleteaser.pdf,3,585430,69,101407268
update-file,sampleteaser.pdf,4,585430,69,88544167
update-file,sampleteaser.pdf,5,585430,69,51557017
update-file,sampleteaser.pdf,6,585430,69,244043975
update-file,sampleteaser.pdf,7,585430,69,203046902
update-file,sampleteaser.pdf,8,585430,69,156376347
update-file,sampleteaser.pdf,9,585430,69,189452627
update-file,sampleteaser.pdf,10,585430,69,100756051
update-file,sampleteaser.pdf,11,585430,69,92110589
update-file,sampleteaser.pdf,12,585430,69,47153011
update-file,sampleteaser.pdf,13,585430,69,113914819
update-file,sampleteaser.pdf,14,585430,69,215161159
update-file,sampleteaser.pdf,15,585430,69,228432200
update-file,sampleteaser.pdf,16,585430,69,86283302
update-file,sampleteaser.pdf,17,585430,69,166653832
update-file,sampleteaser.pdf,18,585430,69,40706020
update-file,sampleteaser.pdf,19,585430,69,120326543
update-file,sampleteaser.pdf,20,585430,69,119398618
update-file,sampleteaser.pdf,21,585430,69,80871465
update-file,sampleteaser.pdf,22,585430,69,110171681
update-file,sampleteaser.pdf,23,585430,69,105709868
update-file,sampleteaser.pdf,24,585430,69,133386035
update-file,sampleteaser.pdf,25,585430,69,51798535
update-file,sampleteaser.pdf,26,585430,69,145211199
update-file,sampleteaser.pdf,27,585430,69,67245896
update-file,sampleteaser.pdf,28,585430,69,160729993
update-file,sampleteaser.pdf,29,585430,69,142301108
update-file,sampleteaser.pdf,30,585430,69,118971547
update-file,sampleteaser.pdf,31,585430,69,103881568
update-file,sampleteaser.pdf,32,585430,69,179017155
update-file,sampleteaser.pdf,33,585430,69,130972542
update-file,sampleteaser.pdf,34,585430,69,111992056
update-file,sampleteaser.pdf,35,585430,69,118772168
update-file,sampleteaser.pdf,36,585430,69,193082509
update-file,sampleteaser.pdf,37,585430,69,113482511
update-file,sampleteaser.pdf,38,585430,69,104252481
update-file,sampleteaser.pdf,39,585430,69,112906316
update-file,sampleteaser.pdf,40,585430,69,94124539
update-file,sampleteaser.pdf,41,585430,69,116721286
update-file,sampleteaser.pdf,42,585430,69,100656837
update-file,sampleteaser.pdf,43,585430,69,115811201
update-file,sampleteaser.pdf,44,585430,69,415381270
update-file,sampleteaser.pdf,45,585430,69,97977461
update-file,sampleteaser.pdf,46,585430,69,96846066
update-file,sampleteaser.pdf,47,585430,69,413875326
update-file,sampleteaser.pdf,48,585430,69,166593656
