type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,58,46090563
update-file,secs/acks.tex,2,781,58,24318367
update-file,secs/acks.tex,3,781,58,46206217
update-file,secs/acks.tex,4,781,58,55819046
update-file,secs/acks.tex,5,781,58,26159254
update-file,secs/acks.tex,6,781,58,28299921
update-file,secs/acks.tex,7,781,58,108899946
update-file,secs/acks.tex,8,781,58,25864656
update-file,secs/acks.tex,9,781,58,30638480
update-file,secs/acks.tex,10,781,58,23465176
update-file,secs/acks.tex,11,781,58,23572225
update-file,secs/acks.tex,12,781,58,26787352
update-file,secs/acks.tex,13,781,58,31857229
update-file,secs/acks.tex,14,781,58,30061720
update-file,secs/acks.tex,15,781,58,37917461
update-file,secs/acks.tex,16,781,58,25927578
update-file,secs/acks.tex,17,781,58,30310856
update-file,secs/acks.tex,18,781,58,62591911
update-file,secs/acks.tex,19,781,58,33330825
update-file,secs/acks.tex,20,781,58,35924579
update-file,secs/acks.tex,21,781,58,26375834
update-file,secs/acks.tex,22,781,58,61212925
update-file,secs/acks.tex,23,781,58,81034085
update-file,secs/acks.tex,24,781,58,25682972
update-file,secs/acks.tex,25,781,58,27319115
update-file,secs/acks.tex,26,781,58,43411106
update-file,secs/acks.tex,27,781,58,40503378
update-file,secs/acks.tex,28,781,58,24611872
update-file,secs/acks.tex,29,781,58,38585574
update-file,secs/acks.tex,30,781,58,27962588
update-file,secs/acks.tex,31,781,58,23408645
update-file,secs/acks.tex,32,781,58,63739443
update-file,secs/acks.tex,33,781,58,28089468
update-file,secs/acks.tex,34,781,58,26155218
update-file,secs/acks.tex,35,781,58,40819806
update-file,secs/acks.tex,36,781,58,64467677
update-file,secs/acks.tex,37,781,58,28850019
update-file,secs/acks.tex,38,781,58,88569938
update-file,secs/acks.tex,39,781,58,28687979
update-file,secs/acks.tex,40,781,58,27280724
update-file,secs/acks.tex,41,781,58,49079782
update-file,secs/acks.tex,42,781,58,27287421
update-file,secs/acks.tex,43,781,58,53485506
update-file,secs/acks.tex,44,781,58,26337178
update-file,secs/acks.tex,45,781,58,29739831
update-file,secs/acks.tex,46,781,58,42057642
update-file,secs/acks.tex,47,781,58,39748970
update-file,secs/acks.tex,48,781,58,28539880
update-file,secs/acks.tex,49,781,58,27807040
update-file,secs/acks.tex,50,781,58,42625471
update-file,secs/multi.tex,1,1217,60,28391387
update-file,secs/multi.tex,2,1217,60,41373072
update-file,secs/multi.tex,3,1217,60,30034535
update-file,secs/multi.tex,4,1217,60,27373416
update-file,secs/multi.tex,5,1217,60,26550548
update-file,secs/multi.tex,6,1217,60,26521683
update-file,secs/multi.tex,7,1217,60,24913710
update-file,secs/multi.tex,8,1217,60,30647581
update-file,secs/multi.tex,9,1217,60,25640209
update-file,secs/multi.tex,10,1217,60,35361775
update-file,secs/multi.tex,11,1217,60,25028374
update-file,secs/multi.tex,12,1217,60,53311864
update-file,secs/multi.tex,13,1217,60,26832529
update-file,secs/multi.tex,14,1217,60,39796738
update-file,secs/multi.tex,15,1217,60,39572376
update-file,secs/multi.tex,16,1217,60,25810624
update-file,secs/multi.tex,17,1217,60,59150805
update-file,secs/multi.tex,18,1217,60,40648440
update-file,secs/multi.tex,19,1217,60,42668076
update-file,secs/multi.tex,20,1217,60,27406284
update-file,secs/multi.tex,21,1217,60,24877198
update-file,secs/multi.tex,22,1217,60,29614465
update-file,secs/multi.tex,23,1217,60,35170610
update-file,secs/multi.tex,24,1217,60,30315744
update-file,secs/multi.tex,25,1217,60,52030745
update-file,secs/multi.tex,26,1217,60,67980981
