type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,34700,8018763874,0.026629,7.98933
compile,full,2,80,34700,8560458943,0.006907,8.55066
compile,full,3,80,34700,8147023686,0.009193,8.13513
compile,full,4,80,34700,8511748743,0.006673,8.50238
compile,full,5,80,34699,8021640129,0.00861,8.01042
compile,full,6,80,34700,8793805780,0.010364,8.77927
compile,full,7,80,34700,8456982090,0.007477,8.44666
compile,full,8,80,34699,8430872073,0.012792,8.36736
compile,full,9,80,34699,8365015554,0.011936,8.35032
compile,full,10,80,34699,8010464526,0.008585,7.99922
compile,full,11,80,34700,8018567147,0.007972,8.0076
compile,full,12,80,34700,8328526280,0.007359,8.31803
compile,full,13,80,34700,8353941179,0.010666,8.34007
compile,full,14,80,34700,8246572237,0.027329,8.21015
compile,full,15,80,34700,8016432930,0.006467,8.00712
compile,full,16,80,34700,8162490052,0.007015,8.15254
compile,full,17,80,34700,8201008471,0.005971,8.19216
compile,full,18,80,34699,8195979654,0.00674,8.18657
compile,full,19,80,34700,8249343371,0.009726,8.23688
compile,full,20,80,34699,8207134861,0.01066,8.19274
compile,full,21,80,34700,8288352194,0.008148,8.23675
compile,full,22,80,34700,8217245186,0.007738,8.2059
compile,full,23,80,34700,8122147206,0.006838,8.11174
compile,full,24,80,34700,8237661988,0.007099,8.22717
compile,full,25,80,34700,8258856362,0.016032,8.23995
compile,full,26,80,34700,8383562358,0.009165,8.3711
compile,full,27,80,34700,8173651474,0.006705,8.16426
compile,full,28,80,34700,8613117241,0.007442,8.60288
compile,full,29,80,34700,8278305980,0.008127,8.26745
compile,full,30,80,34699,8182961303,0.010459,8.16971
compile,full,31,80,34699,8096980363,0.010678,8.08325
compile,full,32,80,34700,8501018153,0.007111,8.49068
compile,full,33,80,34700,8516736673,0.012465,8.50094
compile,full,34,80,34698,8194282691,0.0064,8.18474
compile,full,35,80,34700,8399310691,0.010582,8.38548
compile,full,36,80,34700,8524042588,0.010003,8.51106
compile,full,37,80,34700,8012101539,0.006939,8.00217
compile,full,38,80,34700,8313004191,0.007994,8.30218
compile,full,39,80,34699,8199152718,0.00668,8.18976
compile,full,40,80,34699,8090562373,0.021407,8.06614
compile,full,41,80,34700,8364676413,0.006961,8.3548
compile,full,42,80,34700,8460215989,0.007904,8.44863
compile,full,43,80,34700,8039815837,0.012418,8.02444
compile,full,44,80,34699,8241058991,0.024018,8.21386
compile,full,45,80,34700,7706606512,0.008699,7.69522
compile,full,46,80,34700,8384441381,0.012013,8.36891
compile,full,47,80,34700,8105518921,0.007246,8.09561
compile,full,48,80,34700,8055842715,0.007759,8.04548
compile,full,49,80,34700,8296220293,0.006875,8.2856
compile,full,50,80,34700,8089091028,0.008591,8.07779
get-pdf,default,1,77,1382089,15643076,0,0
get-pdf,default,2,77,1382089,15722216,0,0
get-pdf,default,3,77,1382089,16050147,0,0
get-pdf,default,4,77,1382089,16342217,0,0
get-pdf,default,5,77,1382089,17388992,0,0
get-pdf,default,6,77,1382089,16029786,0,0
get-pdf,default,7,77,1382089,28340615,0,0
get-pdf,default,8,77,1382089,16454562,0,0
get-pdf,default,9,77,1382089,15679092,0,0
get-pdf,default,10,77,1382089,35374468,0,0
get-pdf,default,11,77,1382089,18505166,0,0
get-pdf,default,12,77,1382089,16125625,0,0
get-pdf,default,13,77,1382089,15470787,0,0
get-pdf,default,14,77,1382089,15040594,0,0
get-pdf,default,15,77,1382089,15321969,0,0
get-pdf,default,16,77,1382089,15141264,0,0
get-pdf,default,17,77,1382089,32344117,0,0
